sex,raceth5,age_band,yeardec,n_alive_w,n_dead_w,n_alive_unw,n_dead_unw,mean_nk_alive,mean_nk_dead,kappa,kappa_smooth,kappa_pool
m,3,40-49,3,20594961.0,2496797.0,2809,385,0.7630590317699558,0.4873023317474348,0.6386168192218513,0.6386168192218513,0.7571068851827826
m,3,40-49,4,19815999.0,486079.0,2532,86,0.8109615366855842,0.45408050954680207,0.5599285403875479,0.5599285403875479,0.8494047066428613
m,3,50-59,2,660674.0,500780.0,117,94,0.3674959208323621,0.19888773513319222,0.5411971231754634,0.5411971231754634,
m,3,50-59,3,13096972.0,3939262.0,1943,674,0.3019283388557294,0.20833877005388318,0.690027212561302,0.690027212561302,0.7571068851827826
m,3,50-59,4,19508236.0,1464121.0,2882,271,0.3094559651626113,0.14081827936352256,0.455051106510505,0.455051106510505,0.8494047066428613
m,3,60-69,2,289889.0,569195.0,55,121,0.0,0.25227031158038987,,1.0,
m,3,60-69,3,5541905.0,4099219.0,982,774,0.11276248871101183,0.08985955617399315,0.7968922750923455,0.7968922750923455,0.7571068851827826
m,3,60-69,4,12029215.0,1616408.0,2104,364,0.08010921743438787,0.05861762624287927,0.7317213689035106,0.7317213689035106,0.8494047066428613
m,3,70-100,2,56242.0,619787.0,14,146,0.04432630418548416,0.03481034613504317,0.7853202917477328,0.7853202917477328,
m,3,70-100,3,2078698.0,5306266.0,402,1082,0.04427675400659451,0.028540408641406216,0.6445912597196138,0.6445912597196138,0.7571068851827826
m,3,70-100,4,6357802.0,2522624.0,1281,592,0.045053148871260856,0.0560460060635275,1.243997533306244,1.243997533306244,0.8494047066428613
m,4,18-29,2,783867.0,37913.0,90,2,0.16920344905449522,3.012159417614011,17.801997739678978,1.0,
m,4,18-29,3,10170839.0,258113.0,1183,26,0.3249489053951203,0.1820830411486442,0.5603436051807624,0.5603436051807624,1.7262765106458577
m,4,18-29,4,12499411.0,57907.0,1787,12,0.24756158510189,0.07223651717408949,0.29179210960520713,0.5776959562705056,0.5776959562705056
m,4,30-39,2,449139.0,47767.0,56,6,0.9875428319518011,0.552285050348567,0.5592517432960541,1.0,
m,4,30-39,3,9409405.0,315924.0,1103,36,0.9428544100291145,0.7361105835580709,0.7807256090951947,0.7807256090951947,1.7262765106458577
m,4,30-39,4,11863799.0,137472.0,1597,20,0.8339673489073778,0.5659552490689013,0.6786299845076519,0.5776959562705056,0.5776959562705056
m,4,40-49,2,489264.0,39037.0,55,4,1.1834592367310899,0.0,0.0,1.0,
m,4,40-49,3,7770098.0,444802.0,859,52,1.2892011143231399,1.594089055354967,1.236493699582241,1.236493699582241,1.7262765106458577
m,4,40-49,4,11489337.0,72651.0,1344,15,1.2413121836360097,0.5512243465334269,0.4440658472543137,0.5776959562705056,0.5776959562705056
m,4,50-59,2,252654.0,40331.0,25,5,0.6388658006601914,1.4295703057201656,2.237669169711191,1.0,
m,4,50-59,3,5391477.0,726246.0,552,80,0.49794462630555597,0.577553611310768,1.1598751764746653,1.1598751764746653,1.7262765106458577
m,4,50-59,4,8437689.0,358368.0,966,48,0.5761948561981841,0.2060368113224395,0.3575818303583961,0.3575818303583961,0.5776959562705056
m,4,60-69,2,179745.0,100445.0,18,14,0.29887896742607584,1.1097416496590173,3.713013529242397,1.0,
m,4,60-69,3,2756846.0,675439.0,330,90,0.20815381055017218,0.12891911778857898,0.6193454611656272,0.6193454611656272,1.7262765106458577
m,4,60-69,4,5665008.0,271724.0,783,48,0.16218688481993318,0.13904550205355434,0.8573165592762239,0.8573165592762239,0.5776959562705056
m,4,70-100,2,75447.0,105068.0,9,15,0.0,0.0,,1.0,
m,4,70-100,3,1222188.0,1297743.0,168,184,0.05733405989913172,0.18629728690503436,3.249330105574046,3.249330105574046,1.7262765106458577
m,4,70-100,4,3844595.0,852252.0,594,163,0.2325891283737299,0.1385388359311565,0.5956376245950281,0.5956376245950281,0.5776959562705056
m,5,18-29,2,35542615.0,1553212.0,4250,185,0.4861519333903822,0.617563474915208,1.2703096141331227,1.2703096141331227,0.9055039031993389
m,5,18-29,3,2979443.0,120083.0,267,7,0.8217344651332481,0.44512545489369854,0.5416901368759303,1.3062629479196362,1.3062629479196362
m,5,18-29,4,3140764.0,55891.0,371,3,0.5048583720394146,1.0,1.9807535249151604,1.485188671169118,1.485188671169118
m,5,30-39,2,33653887.0,3276918.0,4829,489,1.184018060083223,0.8554919592128946,0.722532863352408,0.722532863352408,0.9055039031993389
m,5,30-39,3,1940858.0,110857.0,204,15,1.267235418562306,1.2905725393976024,1.018415773812393,1.3062629479196362,1.3062629479196362
m,5,30-39,4,2075911.0,59639.0,331,6,0.9191217735249729,0.6411240966481665,0.697539885481504,1.485188671169118,1.485188671169118
m,5,40-49,2,30017613.0,6229771.0,4098,932,1.0117330115489196,0.6839488963559014,0.6760171789875722,0.6760171789875722,0.9055039031993389
m,5,40-49,3,1966922.0,194727.0,192,26,0.8352039379294146,1.0225032994910823,1.2242558410656068,1.2242558410656068,1.3062629479196362
m,5,40-49,4,1863509.0,59537.0,268,8,0.9031483078428921,0.6588340023850715,0.7294859511597286,1.485188671169118,1.485188671169118
m,5,50-59,2,16136972.0,8003053.0,2255,1256,0.26383066166316704,0.21611365062807905,0.8191377350369975,0.8191377350369975,0.9055039031993389
