sex,raceth5,age_band,yeardec,intent,K_smooth,n_rows
f,3,18-29,4,accident,0.33382261001929925,3
f,3,18-29,4,alive,0.7588278328591539,4337
f,3,18-29,4,other,0.19117854483299385,10
f,3,30-39,2,accident,1.1020366226768346,2
f,3,30-39,2,alive,1.591728826980195,516
f,3,30-39,2,other,0.24886639963363585,12
f,3,30-39,3,accident,0.5814525340697506,11
f,3,30-39,3,alive,1.5620386475345032,4882
f,3,30-39,3,other,0.915204950197502,84
f,3,30-39,4,accident,0.33382261001929925,4
f,3,30-39,4,alive,1.4255231751815458,4062
f,3,30-39,4,other,0.9582640014012348,29
f,3,40-49,2,accident,1.1020366226768346,1
f,3,40-49,2,alive,0.7953957452841055,422
f,3,40-49,2,other,0.24886639963363585,18
f,3,40-49,3,accident,0.5814525340697506,12
f,3,40-49,3,alive,0.7755894698707699,4325
f,3,40-49,3,other,0.6230604410445453,129
f,3,40-49,4,accident,0.33382261001929925,8
f,3,40-49,4,alive,0.7602216901392393,3569
f,3,40-49,4,other,0.5061812414227541,33
f,3,50-59,2,accident,1.1020366226768346,1
f,3,50-59,2,alive,0.16473907623588582,233
f,3,50-59,2,other,0.24886639963363585,13
f,3,50-59,3,accident,0.5814525340697506,13
f,3,50-59,3,alive,0.22545061767315774,3056
f,3,50-59,3,other,0.15951915057977756,161
f,3,50-59,4,accident,0.33382261001929925,7
f,3,50-59,4,alive,0.16939119631934135,3942
f,3,50-59,4,other,0.10980377992288452,54
f,3,60-69,2,alive,0.029165414394687506,112
f,3,60-69,2,other,0.24886639963363585,23
f,3,60-69,3,accident,0.5814525340697506,12
f,3,60-69,3,alive,0.08913509635801417,1639
f,3,60-69,3,other,0.070144169353367,196
f,3,60-69,4,accident,0.33382261001929925,9
f,3,60-69,4,alive,0.06270139769787765,3115
f,3,60-69,4,other,0.06598179794058835,82
f,3,70-100,2,accident,1.1020366226768346,3
f,3,70-100,2,alive,0.15123595774271836,58
f,3,70-100,2,other,0.018330725842194383,62
f,3,70-100,3,accident,0.5814525340697506,18
f,3,70-100,3,alive,0.06024639319226817,990
f,3,70-100,3,other,0.03507480925051095,531
f,3,70-100,4,accident,0.33382261001929925,15
f,3,70-100,4,alive,0.04436986884401286,2439
f,3,70-100,4,other,0.027556026459955873,248
f,4,18-29,2,accident,0.0,1
f,4,18-29,2,alive,0.43884994097018504,110
f,4,18-29,3,accident,0.5810809855420835,3
f,4,18-29,3,alive,0.4260369040976754,1213
f,4,18-29,3,other,0.4912146676852559,2
f,4,18-29,4,accident,0.08224905247528622,1
f,4,18-29,4,alive,0.3547272143167602,1763
f,4,18-29,4,other,0.1606590361217091,2
f,4,30-39,2,alive,1.3237969061617452,87
f,4,30-39,3,accident,0.5810809855420835,1
f,4,30-39,3,alive,1.3252801983773945,1191
f,4,30-39,3,other,0.4912146676852559,13
f,4,30-39,4,alive,1.2325265461266441,1789
f,4,30-39,4,other,0.1606590361217091,6
f,4,40-49,2,accident,0.0,1
f,4,40-49,2,alive,1.0738485486677045,68
f,4,40-49,2,other,0.7953888174807198,1
f,4,40-49,3,accident,0.5810809855420835,4
f,4,40-49,3,alive,1.0442256392279083,971
f,4,40-49,3,other,0.4912146676852559,5
f,4,40-49,4,accident,0.08224905247528622,2
f,4,40-49,4,alive,1.175973925852793,1483
f,4,40-49,4,other,0.1606590361217091,3
f,4,50-59,2,alive,0.19179627038572522,37
f,4,50-59,2,other,0.7953888174807198,1
f,4,50-59,3,accident,0.5810809855420835,3
f,4,50-59,3,alive,0.2792828486985498,640
f,4,50-59,3,other,0.4912146676852559,7
f,4,50-59,4,accident,0.08224905247528622,3
f,4,50-59,4,alive,0.24555140694116456,1108
f,4,50-59,4,other,0.1606590361217091,5
f,4,60-69,2,alive,0.7397327329333343,17
f,4,60-69,2,other,0.7953888174807198,2
f,4,60-69,3,accident,0.5810809855420835,3
f,4,60-69,3,alive,0.18037487637546293,381
f,4,60-69,3,other,0.4912146676852559,17
f,4,60-69,4,accident,0.08224905247528622,2
f,4,60-69,4,alive,0.15021892351708416,1032
f,4,60-69,4,other,0.1606590361217091,14
f,4,70-100,2,alive,0.7397327329333343,13
f,4,70-100,2,other,0.7953888174807198,5
f,4,70-100,3,accident,0.5810809855420835,5
f,4,70-100,3,alive,0.21825863780278754,308
f,4,70-100,3,other,0.3369818725772466,64
f,4,70-100,4,accident,0.08224905247528622,12
f,4,70-100,4,alive,0.10990807279324277,980
f,4,70-100,4,other,0.11517785523648402,81
f,5,18-29,2,accident,0.769617060411668,32
f,5,18-29,2,alive,0.7826120701432816,5367
f,5,18-29,2,other,1.0257231924755938,57
f,5,18-29,3,accident,0.5194012167057805,1
f,5,18-29,3,alive,0.8897079755225268,315
f,5,18-29,3,other,0.7727017816315086,2
f,5,18-29,4,accident,1.0961173970478433,1
f,5,18-29,4,alive,0.7689369163270019,493
f,5,18-29,4,other,0.409810247161328,2
f,5,30-39,2,accident,1.5501966303218424,35
f,5,30-39,2,alive,1.4809453343000392,6124
f,5,30-39,2,other,1.2965937397956804,98
f,5,30-39,3,accident,0.5194012167057805,3
f,5,30-39,3,alive,1.9349028612991308,266
f,5,30-39,3,other,0.7727017816315086,9
f,5,30-39,4,alive,1.415090784515245,391
f,5,30-39,4,other,0.409810247161328,3
f,5,40-49,2,accident,0.5215418691054587,32
f,5,40-49,2,alive,0.9160630797801679,5229
f,5,40-49,2,other,0.4995169667717218,193
f,5,40-49,3,accident,0.5194012167057805,3
f,5,40-49,3,alive,0.9281640302273984,225
f,5,40-49,3,other,0.7727017816315086,15
f,5,40-49,4,accident,1.0961173970478433,1
f,5,40-49,4,alive,0.8897430118988859,329
f,5,40-49,4,other,0.409810247161328,4
f,5,50-59,2,accident,0.018058460439728613,27
f,5,50-59,2,alive,0.14669248626028888,3217
f,5,50-59,2,other,0.13729463842201303,228
f,5,50-59,3,accident,0.5194012167057805,3
f,5,50-59,3,alive,0.2971782201469179,171
f,5,50-59,3,other,0.7727017816315086,8
f,5,50-59,4,alive,0.16972385238457732,361
f,5,50-59,4,other,0.409810247161328,5
f,5,60-69,2,accident,0.0,42
f,5,60-69,2,alive,0.02459420123512112,1575
f,5,60-69,2,other,0.026856230061801777,433
f,5,60-69,3,accident,0.5194012167057805,3
f,5,60-69,3,alive,0.0,68
f,5,60-69,3,other,0.7727017816315086,7
f,5,60-69,4,accident,1.0961173970478433,1
f,5,60-69,4,alive,0.15259481295239868,242
f,5,60-69,4,other,0.409810247161328,6
f,5,70-100,2,accident,0.0,111
f,5,70-100,2,alive,0.04457526060736797,562
f,5,70-100,2,other,0.0185426256368698,1271
f,5,70-100,3,accident,0.5194012167057805,2
f,5,70-100,3,alive,0.053217782952600406,45
f,5,70-100,3,other,0.7727017816315086,18
f,5,70-100,4,accident,1.0961173970478433,2
f,5,70-100,4,alive,0.057987994469202324,182
f,5,70-100,4,other,0.409810247161328,17
m,1,18-29,2,accident,0.9411229206814609,17
m,1,18-29,2,alive,0.8120817185205702,1792
m,1,18-29,2,other,1.3180570933423195,31
m,1,18-29,3,accident,0.4966837666074666,22
m,1,18-29,3,alive,0.8002752305717038,5958
m,1,18-29,3,other,1.056537336767241,43
m,1,18-29,4,accident,0.9287816478935298,20
m,1,18-29,4,alive,0.6903716805686108,4869
m,1,18-29,4,other,0.35196720540786636,19
m,1,30-39,2,accident,0.9411229206814609,13
m,1,30-39,2,alive,1.4779828989571302,1614
m,1,30-39,2,other,1.3771539966685336,33
m,1,30-39,3,accident,0.8667747257518308,27
m,1,30-39,3,alive,1.4533717380259752,5348
m,1,30-39,3,other,1.2483625648811347,82
m,1,30-39,4,accident,0.9287816478935298,12
m,1,30-39,4,alive,1.3961866727409826,4493
m,1,30-39,4,other,0.35196720540786636,13
m,1,40-49,2,accident,0.9411229206814609,13
m,1,40-49,2,alive,1.2550649105923604,1027
m,1,40-49,2,other,1.0279421120389527,48
m,1,40-49,3,accident,0.8806112574592764,30
m,1,40-49,3,alive,1.1835010168176052,3713
m,1,40-49,3,other,1.1283750434480362,106
m,1,40-49,4,accident,0.9287816478935298,10
m,1,40-49,4,alive,1.2005737243524917,3873
m,1,40-49,4,other,0.6464108904925113,36
m,1,50-59,2,accident,0.9411229206814609,4
m,1,50-59,2,alive,0.5698960066071865,510
m,1,50-59,2,other,0.3822841275758783,41
m,1,50-59,3,accident,0.4966837666074666,23
m,1,50-59,3,alive,0.48985772609253814,2061
m,1,50-59,3,other,0.28429256548010956,101
m,1,50-59,4,accident,0.9287816478935298,5
m,1,50-59,4,alive,0.46427273842060646,2572
m,1,50-59,4,other,0.30444746019678876,51
m,1,60-69,2,accident,0.9411229206814609,5
m,1,60-69,2,alive,0.10330190923073358,201
m,1,60-69,2,other,0.1497206589268583,56
m,1,60-69,3,accident,0.4966837666074666,16
m,1,60-69,3,alive,0.20680926150163664,1018
m,1,60-69,3,other,0.13407552987419533,104
m,1,60-69,4,accident,0.9287816478935298,6
m,1,60-69,4,alive,0.17766024742516381,1726
m,1,60-69,4,other,0.015739501127395715,44
m,1,70-100,2,accident,0.9411229206814609,2
m,1,70-100,2,alive,0.06366205861865723,67
m,1,70-100,2,other,0.058237059165653256,80
m,1,70-100,3,accident,0.4966837666074666,21
m,1,70-100,3,alive,0.1336159230343591,467
m,1,70-100,3,other,0.15656005475889337,175
m,1,70-100,4,accident,0.9287816478935298,7
m,1,70-100,4,alive,0.10609898672099057,1082
m,1,70-100,4,other,0.08266147881594468,96
m,2,18-29,2,accident,0.5347704153106748,12
m,2,18-29,2,alive,0.4661452935645323,1497
m,2,18-29,2,other,0.13865270885561098,14
m,2,18-29,3,accident,0.30777671252501115,107
m,2,18-29,3,alive,0.4297325367134613,13004
m,2,18-29,3,other,0.4320034123025025,113
m,2,18-29,4,accident,0.5384342547475899,34
m,2,18-29,4,alive,0.36635098813488576,13106
m,2,18-29,4,other,0.47485863881159,48
m,2,30-39,2,accident,0.5347704153106748,16
m,2,30-39,2,alive,1.2097429273767337,1642
m,2,30-39,2,other,0.5865876570340974,52
m,2,30-39,3,accident,0.8123038271941017,105
m,2,30-39,3,alive,1.156364953082808,13160
m,2,30-39,3,other,0.7587003035705858,196
m,2,30-39,4,accident,0.5595238557435095,30
m,2,30-39,4,alive,1.0619556845241394,12053
m,2,30-39,4,other,0.679713523924477,52
m,2,40-49,2,accident,0.5347704153106748,16
m,2,40-49,2,alive,1.0369052517943318,1499
m,2,40-49,2,other,0.4996849768983059,74
m,2,40-49,3,accident,0.6748001952842471,133
m,2,40-49,3,alive,0.9912875323869524,14192
m,2,40-49,3,other,0.5637334727661863,446
m,2,40-49,4,accident,0.7134911589436321,54
m,2,40-49,4,alive,1.036560853866856,12262
m,2,40-49,4,other,0.4005976654815688,97
m,2,50-59,2,accident,0.5347704153106748,7
m,2,50-59,2,alive,0.24245116239886927,964
m,2,50-59,2,other,0.11215493807269332,105
m,2,50-59,3,accident,0.11829768598566845,105
m,2,50-59,3,alive,0.27501327727991604,11374
m,2,50-59,3,other,0.12853914804515898,624
m,2,50-59,4,accident,0.0941217276010894,68
m,2,50-59,4,alive,0.2752418339679526,14340
m,2,50-59,4,other,0.15509484869569543,224
m,2,60-69,2,accident,0.5347704153106748,19
m,2,60-69,2,alive,0.036098242864294916,375
m,2,60-69,2,other,0.040429423493287986,129
m,2,60-69,3,accident,0.009364241330771147,85
m,2,60-69,3,alive,0.05604533373076368,6353
m,2,60-69,3,other,0.04397759842914527,831
m,2,60-69,4,accident,0.047389574703686994,39
m,2,60-69,4,alive,0.0435481177715533,13304
m,2,60-69,4,other,0.05443232979956756,362
m,2,70-100,2,accident,0.0,30
m,2,70-100,2,alive,0.015743819911164858,94
m,2,70-100,2,other,0.0,290
m,2,70-100,3,accident,0.01633545035272203,211
m,2,70-100,3,alive,0.009282273141065106,2411
m,2,70-100,3,other,0.005729752119558897,1942
m,2,70-100,4,accident,0.0,136
m,2,70-100,4,alive,0.01490270278573856,9637
m,2,70-100,4,other,0.022196544571700227,1084
m,3,18-29,2,accident,0.42331294253648666,3
m,3,18-29,2,alive,0.5617805396833578,286
m,3,18-29,2,other,0.47647278445925306,9
m,3,18-29,3,accident,0.4673173558672237,20
m,3,18-29,3,alive,0.5843196049248777,2864
m,3,18-29,3,other,1.104702625575653,43
m,3,18-29,4,accident,0.38682326647964704,6
m,3,18-29,4,alive,0.4923964248573619,2750
m,3,18-29,4,other,0.12424875142523782,14
m,3,30-39,2,accident,0.42331294253648666,1
m,3,30-39,2,alive,0.9523947965862266,247
m,3,30-39,2,other,0.47647278445925306,12
m,3,30-39,3,accident,0.4673173558672237,15
m,3,30-39,3,alive,1.0313130654358242,2807
m,3,30-39,3,other,0.8450220720250141,63
m,3,30-39,4,accident,0.38682326647964704,13
m,3,30-39,4,alive,0.912974569762726,2429
m,3,30-39,4,other,0.12424875142523782,21
m,3,40-49,2,accident,0.42331294253648666,8
m,3,40-49,2,alive,0.8248497150672306,257
m,3,40-49,2,other,0.7510539149568649,30
m,3,40-49,3,accident,0.4673173558672237,21
m,3,40-49,3,alive,0.7630590317699558,2809
m,3,40-49,3,other,0.42602995545606415,103
m,3,40-49,4,accident,0.38682326647964704,8
m,3,40-49,4,alive,0.8109615366855842,2532
m,3,40-49,4,other,0.6212167636945494,28
m,3,50-59,2,accident,0.42331294253648666,2
m,3,50-59,2,alive,0.3674959208323621,117
m,3,50-59,2,other,0.47647278445925306,20
m,3,50-59,3,accident,0.4673173558672237,24
m,3,50-59,3,alive,0.3019283388557294,1943
m,3,50-59,3,other,0.2265776581077822,170
m,3,50-59,4,accident,0.38682326647964704,21
m,3,50-59,4,alive,0.3094559651626113,2882
m,3,50-59,4,other,0.03624830821143186,87
m,3,60-69,2,accident,0.42331294253648666,2
m,3,60-69,2,alive,0.0,55
m,3,60-69,2,other,0.43349429912810195,26
m,3,60-69,3,accident,0.4673173558672237,15
m,3,60-69,3,alive,0.11276248871101183,982
m,3,60-69,3,other,0.06036523422525492,162
m,3,60-69,4,accident,0.38682326647964704,14
m,3,60-69,4,alive,0.08010921743438787,2104
m,3,60-69,4,other,0.08355381399402967,70
m,3,70-100,2,accident,0.42331294253648666,1
m,3,70-100,2,alive,0.6824768025151345,14
m,3,70-100,2,other,0.040339838385128876,40
m,3,70-100,3,accident,0.4673173558672237,18
m,3,70-100,3,alive,0.04427675400659451,402
m,3,70-100,3,other,0.009191454745350372,264
m,3,70-100,4,accident,0.38682326647964704,16
m,3,70-100,4,alive,0.045053148871260856,1281
m,3,70-100,4,other,0.0,149
m,4,18-29,2,alive,0.16920344905449522,90
m,4,18-29,3,accident,0.180350737345556,6
m,4,18-29,3,alive,0.3249489053951203,1183
m,4,18-29,3,other,0.5953918988479747,8
m,4,18-29,4,accident,0.0580270466478702,2
m,4,18-29,4,alive,0.24756158510189,1787
m,4,18-29,4,other,0.2589387515235039,6
m,4,30-39,2,alive,0.9875428319518011,56
m,4,30-39,3,accident,0.180350737345556,2
m,4,30-39,3,alive,0.9428544100291145,1103
m,4,30-39,3,other,0.5953918988479747,7
m,4,30-39,4,accident,0.0580270466478702,2
m,4,30-39,4,alive,0.8339673489073778,1597
m,4,30-39,4,other,0.2589387515235039,5
m,4,40-49,2,alive,1.1834592367310899,55
m,4,40-49,2,other,0.5878246125843088,1
m,4,40-49,3,accident,0.180350737345556,2
m,4,40-49,3,alive,1.2892011143231399,859
m,4,40-49,3,other,0.5953918988479747,15
m,4,40-49,4,accident,0.0580270466478702,1
m,4,40-49,4,alive,1.2413121836360097,1344
m,4,40-49,4,other,0.2589387515235039,4
m,4,50-59,2,alive,0.6388658006601914,25
m,4,50-59,2,other,0.5878246125843088,1
m,4,50-59,3,accident,0.180350737345556,4
m,4,50-59,3,alive,0.49794462630555597,552
m,4,50-59,3,other,0.5953918988479747,15
m,4,50-59,4,accident,0.0580270466478702,2
m,4,50-59,4,alive,0.5761948561981841,966
m,4,50-59,4,other,0.2589387515235039,12
m,4,60-69,2,alive,0.6144680366402465,18
m,4,60-69,2,other,0.5878246125843088,3
m,4,60-69,3,accident,0.180350737345556,5
m,4,60-69,3,alive,0.20815381055017218,330
m,4,60-69,3,other,0.5953918988479747,22
m,4,60-69,4,accident,0.0580270466478702,4
m,4,60-69,4,alive,0.16218688481993318,783
m,4,60-69,4,other,0.2589387515235039,9
m,4,70-100,2,alive,0.6144680366402465,9
m,4,70-100,2,other,0.5878246125843088,4
m,4,70-100,3,accident,0.180350737345556,6
m,4,70-100,3,alive,0.05733405989913172,168
m,4,70-100,3,other,0.3307459796772598,42
m,4,70-100,4,accident,0.0580270466478702,1
m,4,70-100,4,alive,0.2325891283737299,594
m,4,70-100,4,other,0.2869620726163044,44
m,5,18-29,2,accident,0.5445910958854987,52
m,5,18-29,2,alive,0.4861519333903822,4250
m,5,18-29,2,other,0.6639397253615263,66
m,5,18-29,3,accident,0.8393580309756042,4
m,5,18-29,3,alive,0.8217344651332481,267
m,5,18-29,3,other,0.5016690210588229,2
m,5,18-29,4,accident,0.8700352109203168,2
m,5,18-29,4,alive,0.5048583720394146,371
m,5,18-29,4,other,0.22112812961929795,1
m,5,30-39,2,accident,0.7841085599706289,61
m,5,30-39,2,alive,1.184018060083223,4829
m,5,30-39,2,other,0.7309210350213837,177
m,5,30-39,3,accident,0.8393580309756042,3
m,5,30-39,3,alive,1.267235418562306,204
m,5,30-39,3,other,0.5016690210588229,7
m,5,30-39,4,accident,0.8700352109203168,3
m,5,30-39,4,alive,0.9191217735249729,331
m,5,30-39,4,other,0.22112812961929795,2
m,5,40-49,2,accident,0.5687834366302487,67
m,5,40-49,2,alive,1.0117330115489196,4098
m,5,40-49,2,other,0.8031683528690995,242
m,5,40-49,3,accident,0.8393580309756042,2
m,5,40-49,3,alive,0.8352039379294146,192
m,5,40-49,3,other,0.5016690210588229,8
m,5,40-49,4,accident,0.8700352109203168,2
m,5,40-49,4,alive,0.9031483078428921,268
m,5,40-49,4,other,0.22112812961929795,1
m,5,50-59,2,accident,0.30359994557472375,35
m,5,50-59,2,alive,0.26383066166316704,2255
m,5,50-59,2,other,0.2300281669109244,260
m,5,50-59,3,accident,0.8393580309756042,3
m,5,50-59,3,alive,0.18784111970345754,139
m,5,50-59,3,other,0.5016690210588229,15
m,5,50-59,4,accident,0.8700352109203168,1
m,5,50-59,4,alive,0.22561141726720363,285
m,5,50-59,4,other,0.22112812961929795,7
m,5,60-69,2,accident,0.024900667762268312,32
m,5,60-69,2,alive,0.028063240538433114,935
m,5,60-69,2,other,0.05048022074122705,388
m,5,60-69,3,alive,0.05248739686502083,67
m,5,60-69,3,other,0.5016690210588229,11
m,5,60-69,4,accident,0.8700352109203168,1
m,5,60-69,4,alive,0.06611482624544818,192
m,5,60-69,4,other,0.22112812961929795,2
m,5,70-100,2,accident,0.0,76
m,5,70-100,2,alive,0.033915781040538995,230
m,5,70-100,2,other,0.006698554103495416,596
m,5,70-100,3,accident,0.8393580309756042,1
m,5,70-100,3,alive,0.7721005668057679,21
m,5,70-100,3,other,0.5016690210588229,9
m,5,70-100,4,accident,0.8700352109203168,1
m,5,70-100,4,alive,0.019707976562687784,112
m,5,70-100,4,other,0.22112812961929795,14
