race_eth,focal_year,B,baseline,calibrated_point,med,lo,hi,delta_point_pct,delta_lo_pct,delta_hi_pct
Non-Hispanic White,2009,200,1166185.9172162456,902770.9393511189,907171.5634020482,798811.9801867047,1012303.9062802264,-22.587734423505452,-31.502175734250343,-13.195324061479369
Non-Hispanic White,2010,200,1158261.2435670395,898185.9112155644,901347.0565336186,802883.1275290303,990583.4452874409,-22.453944116314734,-30.682034645618362,-14.476682113890785
Non-Hispanic White,2011,200,1149005.9263289045,893915.3438752106,895456.9108772282,807412.1793551748,978603.6604938164,-22.20098057011012,-29.72950262015864,-14.83040791438966
Non-Hispanic White,2012,200,1142804.3019632893,893723.4903225551,895452.3557628826,818591.9441939424,970244.7405665013,-21.79557875419474,-28.36989300900984,-15.099659766798041
Non-Hispanic White,2013,200,1137074.7393337109,895465.155709142,897392.523449075,831921.4776092094,960218.2477628706,-21.248346767965693,-26.836693417647417,-15.553638248482457
Non-Hispanic White,2014,200,1134284.2286665025,900944.7906749431,903144.896906543,841903.6720679075,958495.9116804104,-20.571513919917585,-25.77665713842518,-15.497730863520337
Non-Hispanic White,2015,200,1135038.3048944364,910989.231101474,913373.8676813135,856195.4631477541,954253.2100596359,-19.739340322421974,-24.566822154307463,-15.927664648429138
Non-Hispanic White,2016,200,1139872.6224857888,926586.448641492,929125.484881211,876368.3744604803,973025.7452373737,-18.711404207530727,-23.11699069065006,-14.637326483424262
Non-Hispanic White,2017,200,1151491.6925602262,950470.5277960243,952170.986583753,903323.0544266042,1003834.2794485247,-17.457456798255443,-21.551926057047268,-12.823141848587728
Non-Hispanic White,2018,200,1161203.0659085845,968340.2902926828,969815.8148775101,919597.1354288914,1023321.2539580947,-16.608875852820454,-20.806518478372112,-11.874048217621954
Non-Hispanic White,2019,200,1167890.7793628627,984463.0810953929,985975.2292878653,932635.3413375595,1039954.6911281053,-15.705894892631818,-20.143616353718084,-10.954456572090788
Non-Hispanic White,2020,200,1175776.4490746688,1002392.1567997644,1003935.9207985334,951074.3391014271,1062647.8380605218,-14.74636546865326,-19.110955160743465,-9.621608861376567
Non-Hispanic White,2021,200,1176062.4355485842,1014423.6734066207,1015235.4129136025,957423.816105849,1081512.048589255,-13.744063006873075,-18.590732331379105,-8.039572058538322
Non-Hispanic Black,2000,200,667188.5048831146,486916.02627469343,471105.9181311106,364029.2939619291,607832.7707143315,-27.019721906030632,-45.438314464709826,-8.896396405867582
Non-Hispanic Black,2001,200,655736.144633782,480182.24992941756,464916.6815770443,360042.45107728336,599463.660394502,-26.772032644686444,-45.093395564101286,-8.58157426577534
Non-Hispanic Black,2002,200,646072.3182412148,475693.90658141644,461264.017637872,358198.12916972325,592990.0950875564,-26.371414909652053,-44.55757984727835,-8.21614262907328
Non-Hispanic Black,2003,200,635459.2698852016,471457.6059822197,458329.15356213495,357324.61130009475,585815.7135224991,-25.808367534336153,-43.76907722745992,-7.8122326190427325
Non-Hispanic Black,2004,200,625341.3162868512,468542.3910210394,456226.87069817283,358236.27040812565,579472.261855216,-25.074134905534745,-42.713481249686275,-7.335042997637874
Non-Hispanic Black,2005,200,613626.2312729097,465329.5652637115,453972.1584761513,360139.85101985856,571847.1933775232,-24.167263140229636,-41.309573700462174,-6.808548227920404
Non-Hispanic Black,2006,200,601594.5348550099,462921.9019565127,451956.67456002824,362863.50817613525,564164.6182995631,-23.050846519395098,-39.6830444505968,-6.221784671708791
Non-Hispanic Black,2007,200,587236.3325967911,459893.47218027187,449890.9289389595,365912.83715232305,554584.210175001,-21.685112679149494,-37.688998987130695,-5.560303511433069
Non-Hispanic Black,2008,200,567112.5567527985,453399.7342184747,444648.0527103981,367389.27489428315,539754.7670818983,-20.05119110488866,-35.217573562839256,-4.824049361126266
Non-Hispanic Black,2009,200,547125.6091201678,447717.83196982846,440657.1582176453,370130.2763151536,525247.9859319688,-18.169095997936726,-32.35003623567178,-3.9986472618930042
Non-Hispanic Black,2010,200,528637.110077435,444341.1879691417,436603.9742696263,375776.1087063239,512328.91027306614,-15.945895681811978,-28.916055732205404,-3.084951754896674
Non-Hispanic Black,2011,200,506628.6859320655,437377.996914996,432407.8834619864,376995.5884678647,496064.27368005866,-13.668923797646032,-25.5873978445791,-2.085237679064903
Non-Hispanic Black,2012,200,488618.2227894094,433467.7904920131,430311.57064625487,380347.5486112624,483832.4225299147,-11.287019133784067,-22.15854201262788,-0.9794559507366819
Non-Hispanic Black,2013,200,475276.16859787935,433208.893876342,432194.27635589434,383190.9334722517,476657.48671800323,-8.851122252908404,-19.37510045944234,0.2906348374670095
Non-Hispanic Black,2014,200,467450.6983083443,437614.1981850452,436723.24346672464,393954.32373581687,482538.2970971265,-6.382812183461119,-15.722807739619,3.227634238943841
Non-Hispanic Black,2015,200,461034.5433735182,443368.2771321845,442453.53895574214,404812.01219209365,485882.2436306295,-3.831874746752108,-12.194863050830994,5.389552825108014
Non-Hispanic Black,2016,200,457952.8309031036,452785.0565162133,451658.7408929473,414516.26319176285,499245.0650491213,-1.1284512373685314,-9.484943596850764,9.01670027120207
Non-Hispanic Black,2017,200,459262.6910155367,466984.10283148143,466798.79007794027,429266.93887996697,520077.04223287,1.6812625904514191,-6.531284322103796,13.241735592076639
Non-Hispanic Black,2018,200,460109.5759525953,459685.0658140048,459257.54576667666,421486.29301859805,510415.3604717651,-0.09226283493699941,-8.394366245047799,10.93343567453871
Non-Hispanic Black,2019,200,463192.74954999407,453916.874704764,454346.70843756315,418953.93659313413,509930.0850618446,-2.00259500051369,-9.55084314247995,10.090256282564289
Non-Hispanic Black,2020,200,469125.62848620425,450254.92600444827,450705.8918957918,419549.4436905917,501512.29494279705,-4.02252644833087,-10.56778435993514,6.903623355880076
Non-Hispanic Black,2021,200,456693.6818608724,429031.61016192526,430000.671308034,397951.18476048583,475042.19814271375,-6.057029645392415,-12.862559617867007,4.0176855977243475
Hispanic,2000,200,309063.6912387271,348192.8947311654,345651.14871181815,303751.6891012875,383990.67868628434,12.66056304951529,-1.7187402752322853,24.243218977696785
Hispanic,2001,200,308884.384974796,346835.719172479,344312.98800235044,303423.54799187905,381957.94510446343,12.286582308386919,-1.7679226430829489,23.657252902450875
Hispanic,2002,200,310700.4291750319,347534.308888267,345037.0154605729,305223.8864334519,382230.93714598747,11.855110664325768,-1.7626440864987682,23.022339608890316
Hispanic,2003,200,311430.6803659364,346792.9540264315,344336.67021000874,306075.7074513097,381013.08442929527,11.354781622332064,-1.7194750717349105,22.3428224803023
Hispanic,2004,200,312976.5431638893,346804.287849874,344488.4189060856,307917.8359256398,380454.8821797836,10.808396164140287,-1.616321525923609,21.560190528578826
Hispanic,2005,200,314197.1304457597,346354.6102530314,344206.06551213295,309599.59882248956,379234.60683847213,10.234810152991875,-1.4632634030576572,20.699576823137143
Hispanic,2006,200,317008.07523448055,347448.1897450676,345460.14491274935,313112.13133365626,379507.6906402036,9.602315173855274,-1.2289730783490573,19.71546477467305
Hispanic,2007,200,320144.8899816381,348758.34887901234,347065.5130141305,317225.09118462534,379809.0211307715,8.937659101482252,-0.9120241766720804,18.636602680915946
Hispanic,2008,200,320903.78013210045,347262.79444133653,345904.86019012734,316950.46994147135,376817.45053107245,8.213993084900826,-1.23193007854308,17.423811703294696
Hispanic,2009,200,321291.3358050902,345255.88427565555,344145.690616912,315298.57275012205,372911.76461694064,7.45882188528835,-1.8652115345567952,16.066548661357526
Hispanic,2010,200,321184.70644856093,342560.79749765806,341873.07356759463,313100.5644622381,367702.02462016133,6.6553888214227905,-2.516976002908635,14.483042697131143
Hispanic,2011,200,315655.1421750598,334024.06769677106,333458.3749947146,308554.3744344277,356703.0460411823,5.8193018479401095,-2.2495333647040945,13.00403458764427
Hispanic,2012,200,311678.0763228983,327094.29697730555,326459.036210825,305824.6676059706,346818.79927008203,4.946199885562701,-1.8780303016448356,11.274685522243129
Hispanic,2013,200,309582.25561756094,322082.1256280433,322008.3029428313,302143.1830648437,340824.28531680565,4.037657127843903,-2.402938933911965,10.0916732572164
Hispanic,2014,200,310219.73911623214,319882.0077313796,319981.2525591979,300024.9008713783,340564.2074525951,3.1146530658151383,-3.2863280311876166,9.78160462090828
Hispanic,2015,200,312653.3241744757,319363.2871788039,319300.54441560374,299165.38219521765,341055.4792801288,2.14613518728613,-4.3140248116252575,9.084232569938495
Hispanic,2016,200,317301.10448110703,320817.24522473855,320935.5293026087,299119.69178619084,342922.9796349578,1.1081400896418503,-5.730018722956811,8.074940424727188
Hispanic,2017,200,324532.7000884387,324553.21552646026,324787.7643482926,300989.899803037,349940.39558689727,0.006321531856721198,-7.254369214253611,7.829009369944755
Hispanic,2018,200,331804.0058416112,331284.1679388757,330947.71046052995,308372.57199064776,356773.9682103681,-0.15667017081875115,-7.061829706223792,7.525515644520735
Hispanic,2019,200,338968.44906689285,337776.3373981385,337703.1223507019,315398.20482056064,362205.315381309,-0.3516880913359328,-6.953521577366866,6.855170850969245
Hispanic,2020,200,348559.47982956225,346595.1756329085,347022.5776081589,324670.2785302395,372233.2249613249,-0.5635492104860472,-6.85369432815428,6.791881013633189
Hispanic,2021,200,368359.97864731896,365201.9695901035,365900.33442447265,341125.4905499777,391764.0351583733,-0.8573160061557784,-7.393443825616175,6.353582872112776
Non-Hispanic Asian or Pacific Islander,2000,200,46981.77713008936,115102.37571966294,120502.61242207704,34150.809423603394,291223.3857426982,144.99366084205852,-27.310520142645696,519.8645592658626
Non-Hispanic Asian or Pacific Islander,2001,200,47258.92402805817,115394.46137590373,120811.47306629989,34409.63462378585,291669.0496723476,144.17496536187048,-27.189128124549658,517.172429696411
Non-Hispanic Asian or Pacific Islander,2002,200,47829.33454511715,116104.2417214304,121571.63169417605,34962.38312281298,292924.3308881977,142.74693099045714,-26.901798958057515,512.4365594338005
Non-Hispanic Asian or Pacific Islander,2003,200,48098.52182966059,115877.89089641949,121314.57621350267,35358.550654609986,291640.3982663263,140.91777977459975,-26.487240543833785,506.3396278562607
Non-Hispanic Asian or Pacific Islander,2004,200,48438.20125430462,115225.55066331729,120547.85454786223,35890.01203478779,288800.5816696944,137.88156388874452,-25.905563985825538,496.22482708114427
Non-Hispanic Asian or Pacific Islander,2005,200,48839.1224090656,114480.29472384247,119660.27458284458,36539.34559519986,285513.18401409464,134.40284975839867,-25.18427073862129,484.5993333432568
Non-Hispanic Asian or Pacific Islander,2006,200,49396.982068755206,113447.56658046647,118508.9193403013,37416.12979285969,280961.9602048993,129.66497512451235,-24.254219132698182,468.7836552723625
Non-Hispanic Asian or Pacific Islander,2007,200,49842.64761457696,111567.43021042498,116471.76141826273,38105.244004535154,273780.2743353343,123.83929335606965,-23.548916784687602,449.2891879508917
Non-Hispanic Asian or Pacific Islander,2008,200,50200.82459727226,109027.28650163603,113736.95918601051,38472.60939316651,264560.8343178085,117.1822621964664,-23.362594734635138,427.0049574687342
Non-Hispanic Asian or Pacific Islander,2009,200,50547.14474452947,105808.10570044878,110277.58479301009,38849.92645941709,253094.23157156265,109.32558354228308,-23.141204798473463,400.70925440146465
Non-Hispanic Asian or Pacific Islander,2010,200,51023.416568559776,101945.29519234254,106124.28716833226,39391.37007979234,239197.40203612752,99.8009973623766,-22.797466871191478,368.7992653622475
Non-Hispanic Asian or Pacific Islander,2011,200,51152.472130543756,96603.12219251825,100690.04085815496,39665.94725187604,221147.55368825345,88.85328151097386,-22.455463832429277,332.3301386565901
Non-Hispanic Asian or Pacific Islander,2012,200,51533.70053011542,90670.94506432624,95375.79038921636,41986.253834711104,200755.27231164344,75.94495278160682,-18.526608019978983,289.5611420226371
Non-Hispanic Asian or Pacific Islander,2013,200,52286.30243430711,84436.35806024363,89178.795659356,43419.31408525227,178851.99630455615,61.488485758445215,-16.95853012401362,242.0628118220199
Non-Hispanic Asian or Pacific Islander,2014,200,53251.561309059754,77383.05753356182,82214.27674832943,44954.86774683719,153933.45459355228,45.31603511951215,-15.580188370572785,189.06843444487583
Non-Hispanic Asian or Pacific Islander,2015,200,54220.96219210623,69117.31055776609,74187.47109323562,46593.07254441899,125126.43464786996,27.473412059494127,-14.068156187751585,130.77132826330867
Non-Hispanic Asian or Pacific Islander,2016,200,55476.0616269279,59720.970653046556,64538.79528926056,46806.80830052974,96122.2181062198,7.651785115290507,-15.627016540392141,73.26792004925309
Non-Hispanic Asian or Pacific Islander,2017,200,57214.028300833685,49134.68418925224,51367.248151958636,43743.583753544226,73590.69121005027,-14.121264227542104,-23.543954074447118,28.62350964540973
Non-Hispanic Asian or Pacific Islander,2018,200,58516.62995079907,49615.24655179185,51872.82872371239,44299.07454373807,72869.52544373277,-15.211715723361925,-24.296606655262202,24.527891481450055
Non-Hispanic Asian or Pacific Islander,2019,200,59744.914811308496,49864.71118408563,52088.97871882851,44806.645790252034,71541.02213871213,-16.537313105939425,-25.003415049190014,19.74411941946709
Non-Hispanic Asian or Pacific Islander,2020,200,61317.815251015745,50225.698133672515,52634.65123780453,45418.49517360417,70520.00518753318,-18.08955043805069,-25.929364920006996,15.007367595936978
Non-Hispanic Asian or Pacific Islander,2021,200,59413.99196092998,47651.03335619148,49969.526554895274,43274.57132746993,65775.0431156631,-19.79829702820457,-27.16434311310569,10.706318402096382
Non-Hispanic American Indian or Alaska Native,2000,200,33216.34418766369,34893.536029098235,34819.410366550015,31313.718558414985,37915.99273469797,5.049296912263568,-5.727980233162835,14.14860262912283
Non-Hispanic American Indian or Alaska Native,2001,200,32909.611257666875,34557.76212604207,34474.381477238334,31042.648412472594,37512.14684191912,5.008114059661614,-5.67300181875998,13.985384233853583
Non-Hispanic American Indian or Alaska Native,2002,200,32782.70060066094,34426.704746689575,34277.15317085786,30924.115543397987,37346.03098525513,5.0148526994615334,-5.669408020721388,13.91993429760997
Non-Hispanic American Indian or Alaska Native,2003,200,32727.412047092705,34407.97191342208,34211.58297882367,30893.2811219981,37769.874933154904,5.135022176245266,-5.6042650804634455,15.40745989571803
Non-Hispanic American Indian or Alaska Native,2004,200,32806.77661890195,34547.91689262477,34273.998440117844,30804.154834473455,37994.31020136066,5.307257991081162,-6.104293048024315,15.812384260481902
Non-Hispanic American Indian or Alaska Native,2005,200,32869.59066437553,34711.779558698356,34392.96113207129,30800.04301692745,38271.17007308544,5.604538593537805,-6.296237968339168,16.43336378558621
Non-Hispanic American Indian or Alaska Native,2006,200,32930.55510098733,34888.88882051216,34323.477211545396,30684.456864037147,38881.07324804243,5.946859120714051,-6.820711737357992,18.069899304177493
Non-Hispanic American Indian or Alaska Native,2007,200,32908.617636355084,35024.816053721675,34424.149610228545,30056.91710287505,40045.95381275379,6.43052965867751,-8.66551298201502,21.688350009919247
Non-Hispanic American Indian or Alaska Native,2008,200,32661.314772928436,34962.99098433004,34222.62562514957,29331.861272445763,41198.12224826054,7.047102137202898,-10.193874691297834,26.13736628388241
Non-Hispanic American Indian or Alaska Native,2009,200,32655.973883104474,35195.51304792741,34059.049050797024,28734.47477090041,43390.326396553755,7.7766450142123595,-12.008519869110275,32.87102247164343
Non-Hispanic American Indian or Alaska Native,2010,200,32585.295439698304,35448.610945765824,34130.29360072028,27595.57791331304,46210.40169348059,8.787139927475307,-15.312788971390896,41.813664936678684
Non-Hispanic American Indian or Alaska Native,2011,200,32434.019370364662,35663.31710439402,33966.93347319291,26498.824016536488,48448.57027338313,9.956514168515302,-18.299290279302326,49.37578263164986
Non-Hispanic American Indian or Alaska Native,2012,200,32431.75105706977,36111.326595961946,34041.05532201877,25298.023303940972,50801.56793896206,11.345596272052255,-21.99612269030945,56.64145870374727
Non-Hispanic American Indian or Alaska Native,2013,200,32684.96964280963,36942.72165565384,34479.67267295033,24318.280805485818,53907.20472440686,13.02663597174512,-25.597970347708124,64.92964599178055
Non-Hispanic American Indian or Alaska Native,2014,200,33018.95023188325,37948.73145350522,35021.69897278821,23337.809533171814,57630.88907897218,14.930157339956097,-29.3199530291647,74.53882898834114
Non-Hispanic American Indian or Alaska Native,2015,200,33536.45141996203,39269.586056305896,35550.84989764824,23038.963544573864,61192.67002815825,17.09523337621615,-31.301725230057304,82.466144857933
Non-Hispanic American Indian or Alaska Native,2016,200,34225.25972651086,40926.68095688134,36379.30816050338,22602.843317778563,64959.0830007054,19.580337107506477,-33.958592284194076,89.79865607970285
Non-Hispanic American Indian or Alaska Native,2017,200,35000.832217470044,42800.377727447754,37137.8068217099,21537.686962585576,68806.43997733746,22.2838858845325,-38.46521468756557,96.58515417525972
Non-Hispanic American Indian or Alaska Native,2018,200,35772.611992828075,44084.67328781325,38502.68154662624,21952.51902860812,71364.11881069407,23.235824369357303,-38.633167091602644,99.49373231398816
Non-Hispanic American Indian or Alaska Native,2019,200,36513.883653707184,45403.675815677525,38997.397461521046,22025.113126162618,71900.38030132702,24.34633424995256,-39.68016841197759,96.91244290314519
Non-Hispanic American Indian or Alaska Native,2020,200,37334.60436885319,46838.18982096314,39558.08110672528,22347.02921620331,71635.52249909227,25.455165824760737,-40.14392386371029,91.87433136121565
Non-Hispanic American Indian or Alaska Native,2021,200,34749.73548102762,43981.575984745374,36331.33477368857,20747.769255124127,66013.13879820953,26.566649719558516,-40.293734706407115,89.96731308717688
