birth_week,death_year,deaths_total,birth_year,group,study,age,week_in_year,treated,rate,log_rate,study_name
17-23 March 1958,1970,4.0,1958,2,NCDS 1958,12,7,0,0.273382770050918,-1.2968823777063,NCDS
24-30 March 1958,1970,7.0,1958,2,NCDS 1958,12,8,0,0.478419847589106,-0.737266589770873,NCDS
31-6 March/April 1958,1970,4.0,1958,2,NCDS 1958,12,9,0,0.273382770050918,-1.2968823777063,NCDS
3-9 February 1959,1970,5.0,1959,2,NCDS 1958,11,1,0,0.331120345689641,-1.10527338754112,NCDS
10-16 February 1959,1970,8.0,1959,2,NCDS 1958,11,2,0,0.529792553103425,-0.63526975829538,NCDS
17-23 February 1959,1970,4.0,1959,2,NCDS 1958,11,3,0,0.264896276551713,-1.32841693885532,NCDS
24-2 Feb/March 1959,1970,3.0,1959,2,NCDS 1958,11,4,0,0.198672207413785,-1.61609901130711,NCDS
3-9 March 1959,1970,6.0,1959,2,NCDS 1958,11,5,0,0.397344414827569,-0.92295183074716,NCDS
10-16 March 1959,1970,3.0,1959,2,NCDS 1958,11,6,0,0.198672207413785,-1.61609901130711,NCDS
17-23 March 1959,1970,2.0,1959,2,NCDS 1958,11,7,0,0.132448138275856,-2.02156411941527,NCDS
24-30 March 1959,1970,5.0,1959,2,NCDS 1958,11,8,0,0.331120345689641,-1.10527338754112,NCDS
31-6 March/April 1959,1970,5.0,1959,2,NCDS 1958,11,9,0,0.331120345689641,-1.10527338754112,NCDS
3-9 February 1960,1970,4.0,1960,2,NCDS 1958,10,1,0,0.248586166179852,-1.39196574835712,NCDS
10-16 February 1960,1970,6.0,1960,2,NCDS 1958,10,2,0,0.372879249269778,-0.986500640248958,NCDS
17-23 February 1960,1970,10.0,1960,2,NCDS 1958,10,3,0,0.62146541544963,-0.475675016482968,NCDS
24-1 Feb/March 1960,1970,5.0,1960,2,NCDS 1958,10,4,0,0.310732707724815,-1.16882219704291,NCDS
3-9 March 1960,1970,2.0,1960,2,NCDS 1958,10,5,0,0.124293083089926,-2.08511292891707,NCDS
10-16 March 1960,1970,3.0,1960,2,NCDS 1958,10,6,0,0.186439624634889,-1.6796478208089,NCDS
17-23 March 1960,1970,6.0,1960,2,NCDS 1958,10,7,0,0.372879249269778,-0.986500640248958,NCDS
24-30 March 1960,1970,4.0,1960,2,NCDS 1958,10,8,0,0.248586166179852,-1.39196574835712,NCDS
31-6 March/April 1960,1970,7.0,1960,2,NCDS 1958,10,9,0,0.435025790814741,-0.8323499604217,NCDS
8-14 March 1968,1970,9.0,1968,3,BCS70 1970,2,1,0,0.538672173093325,-0.618648106294737,BCS70
15-21 March 1968,1970,10.0,1968,3,BCS70 1970,2,2,0,0.598524636770361,-0.51328759063691,BCS70
22-28 March 1968,1970,7.0,1968,3,BCS70 1970,2,3,0,0.418967245739253,-0.869962534575643,BCS70
29-4 March/April 1968,1970,20.0,1968,3,BCS70 1970,2,4,0,1.19704927354072,0.179859589923035,BCS70
5-11 April 1968,1970,12.0,1968,3,BCS70 1970,2,5,0,0.718229564124433,-0.330966033842956,BCS70
12-18 April 1968,1970,18.0,1968,3,BCS70 1970,2,6,0,1.07734434618665,0.0744990742652087,BCS70
19-25 April 1968,1970,15.0,1968,3,BCS70 1970,2,7,0,0.897786955155542,-0.107822482528746,BCS70
26-2 April/May 1968,1970,11.0,1968,3,BCS70 1970,2,8,0,0.658377100447397,-0.417977410832585,BCS70
3-9 May 1968,1970,9.0,1968,3,BCS70 1970,2,9,0,0.538672173093325,-0.618648106294737,BCS70
8-14 March 1969,1970,31.0,1969,3,BCS70 1970,1,1,0,1.91974238295764,0.652191001494452,BCS70
