birth_week,cause,deaths,death_year,birth_year,group,cohort,study,age,week_in_year,rate
10-16 February 1957,external,2.0,1970,1957,2,0,NCDS,13,1,0.13042911177774877
10-16 February 1957,other,1.0,1970,1957,2,0,NCDS,13,1,0.06521455588887438
10-16 February 1957,respiratory,0.0,1970,1957,2,0,NCDS,13,1,0.0
10-16 February 1958,cancer,0.0,1970,1958,2,0,NCDS,12,1,0.0
10-16 February 1958,cardiovascular,1.0,1970,1958,2,0,NCDS,12,1,0.06521455588887438
10-16 February 1958,external,3.0,1970,1958,2,0,NCDS,12,1,0.1956436676666232
10-16 February 1958,other,0.0,1970,1958,2,0,NCDS,12,1,0.0
10-16 February 1958,respiratory,0.0,1970,1958,2,0,NCDS,12,1,0.0
10-16 February 1959,cancer,2.0,1970,1959,2,0,NCDS,11,1,0.13042911177774877
10-16 February 1959,cardiovascular,1.0,1970,1959,2,0,NCDS,11,1,0.06521455588887438
10-16 February 1959,external,2.0,1970,1959,2,0,NCDS,11,1,0.13042911177774877
10-16 February 1959,other,2.0,1970,1959,2,0,NCDS,11,1,0.13042911177774877
10-16 February 1959,respiratory,1.0,1970,1959,2,0,NCDS,11,1,0.06521455588887438
10-16 February 1960,cancer,2.0,1970,1960,2,0,NCDS,10,1,0.13042911177774877
10-16 February 1960,cardiovascular,0.0,1970,1960,2,0,NCDS,10,1,0.0
10-16 February 1960,external,2.0,1970,1960,2,0,NCDS,10,1,0.13042911177774877
10-16 February 1960,other,1.0,1970,1960,2,0,NCDS,10,1,0.06521455588887438
10-16 February 1960,respiratory,1.0,1970,1960,2,0,NCDS,10,1,0.06521455588887438
10-16 March 1944,cancer,0.0,1970,1944,1,0,NSHD,26,2,0.0
10-16 March 1944,cardiovascular,2.0,1970,1944,1,0,NSHD,26,2,0.13042911177774877
10-16 March 1944,external,1.0,1970,1944,1,0,NSHD,26,2,0.06521455588887438
10-16 March 1944,other,1.0,1970,1944,1,0,NSHD,26,2,0.06521455588887438
10-16 March 1944,respiratory,1.0,1970,1944,1,0,NSHD,26,2,0.06521455588887438
10-16 March 1945,cancer,2.0,1970,1945,1,0,NSHD,25,2,0.13042911177774877
10-16 March 1945,cardiovascular,0.0,1970,1945,1,0,NSHD,25,2,0.0
10-16 March 1945,external,3.0,1970,1945,1,0,NSHD,25,2,0.1956436676666232
10-16 March 1945,other,1.0,1970,1945,1,0,NSHD,25,2,0.06521455588887438
10-16 March 1945,respiratory,0.0,1970,1945,1,0,NSHD,25,2,0.0
10-16 March 1946,cancer,3.0,1970,1946,1,0,NSHD,24,2,0.1956436676666232
10-16 March 1946,cardiovascular,0.0,1970,1946,1,0,NSHD,24,2,0.0
10-16 March 1946,external,2.0,1970,1946,1,0,NSHD,24,2,0.13042911177774877
10-16 March 1946,other,1.0,1970,1946,1,0,NSHD,24,2,0.06521455588887438
10-16 March 1946,respiratory,0.0,1970,1946,1,0,NSHD,24,2,0.0
10-16 March 1947,cancer,2.0,1970,1947,1,0,NSHD,23,2,0.13042911177774877
10-16 March 1947,cardiovascular,0.0,1970,1947,1,0,NSHD,23,2,0.0
10-16 March 1947,external,3.0,1970,1947,1,0,NSHD,23,2,0.1956436676666232
10-16 March 1947,other,1.0,1970,1947,1,0,NSHD,23,2,0.06521455588887438
10-16 March 1947,respiratory,3.0,1970,1947,1,0,NSHD,23,2,0.1956436676666232
10-16 March 1948,cancer,1.0,1970,1948,1,0,NSHD,22,2,0.06521455588887438
10-16 March 1948,cardiovascular,1.0,1970,1948,1,0,NSHD,22,2,0.06521455588887438
10-16 March 1948,external,6.0,1970,1948,1,0,NSHD,22,2,0.3912873353332464
10-16 March 1948,other,1.0,1970,1948,1,0,NSHD,22,2,0.06521455588887438
10-16 March 1948,respiratory,0.0,1970,1948,1,0,NSHD,22,2,0.0
10-16 March 1956,cancer,1.0,1970,1956,2,0,NCDS,14,2,0.06521455588887438
10-16 March 1956,cardiovascular,0.0,1970,1956,2,0,NCDS,14,2,0.0
10-16 March 1956,external,0.0,1970,1956,2,0,NCDS,14,2,0.0
10-16 March 1956,other,1.0,1970,1956,2,0,NCDS,14,2,0.06521455588887438
10-16 March 1956,respiratory,2.0,1970,1956,2,0,NCDS,14,2,0.13042911177774877
10-16 March 1957,cancer,4.0,1970,1957,2,0,NCDS,13,2,0.26085822355549754
10-16 March 1957,cardiovascular,1.0,1970,1957,2,0,NCDS,13,2,0.06521455588887438
10-16 March 1957,external,3.0,1970,1957,2,0,NCDS,13,2,0.1956436676666232
10-16 March 1957,other,0.0,1970,1957,2,0,NCDS,13,2,0.0
10-16 March 1957,respiratory,0.0,1970,1957,2,0,NCDS,13,2,0.0
10-16 March 1958,cancer,1.0,1970,1958,2,0,NCDS,12,2,0.06521455588887438
10-16 March 1958,cardiovascular,0.0,1970,1958,2,0,NCDS,12,2,0.0
10-16 March 1958,external,2.0,1970,1958,2,0,NCDS,12,2,0.13042911177774877
10-16 March 1958,other,0.0,1970,1958,2,0,NCDS,12,2,0.0
10-16 March 1958,respiratory,0.0,1970,1958,2,0,NCDS,12,2,0.0
10-16 March 1959,cancer,1.0,1970,1959,2,0,NCDS,11,2,0.06521455588887438
10-16 March 1959,cardiovascular,1.0,1970,1959,2,0,NCDS,11,2,0.06521455588887438
10-16 March 1959,external,0.0,1970,1959,2,0,NCDS,11,2,0.0
10-16 March 1959,other,1.0,1970,1959,2,0,NCDS,11,2,0.06521455588887438
10-16 March 1959,respiratory,0.0,1970,1959,2,0,NCDS,11,2,0.0
10-16 March 1960,cancer,1.0,1970,1960,2,0,NCDS,10,2,0.06521455588887438
10-16 March 1960,cardiovascular,1.0,1970,1960,2,0,NCDS,10,2,0.06521455588887438
10-16 March 1960,external,0.0,1970,1960,2,0,NCDS,10,2,0.0
10-16 March 1960,other,0.0,1970,1960,2,0,NCDS,10,2,0.0
10-16 March 1960,respiratory,1.0,1970,1960,2,0,NCDS,10,2,0.06521455588887438
12-18 April 1968,cancer,2.0,1970,1968,3,0,BCS70,2,1,0.13042911177774877
12-18 April 1968,cardiovascular,0.0,1970,1968,3,0,BCS70,2,1,0.0
12-18 April 1968,external,2.0,1970,1968,3,0,BCS70,2,1,0.13042911177774877
12-18 April 1968,other,11.0,1970,1968,3,0,BCS70,2,1,0.7173601147776184
12-18 April 1968,respiratory,3.0,1970,1968,3,0,BCS70,2,1,0.1956436676666232
12-18 April 1969,cancer,0.0,1970,1969,3,0,BCS70,1,1,0.0
12-18 April 1969,cardiovascular,2.0,1970,1969,3,0,BCS70,1,1,0.13042911177774877
12-18 April 1969,external,4.0,1970,1969,3,0,BCS70,1,1,0.26085822355549754
12-18 April 1969,other,11.0,1970,1969,3,0,BCS70,1,1,0.7173601147776184
12-18 April 1969,respiratory,6.0,1970,1969,3,0,BCS70,1,1,0.3912873353332464
12-18 April 1970,cancer,0.0,1970,1970,3,0,BCS70,0,1,0.0
12-18 April 1970,cardiovascular,4.0,1970,1970,3,0,BCS70,0,1,0.26085822355549754
12-18 April 1970,external,12.0,1970,1970,3,0,BCS70,0,1,0.7825746706664928
12-18 April 1970,other,211.0,1970,1970,3,0,BCS70,0,1,13.760271292552497
12-18 April 1970,respiratory,34.0,1970,1970,3,0,BCS70,0,1,2.2172949002217295
12-18 April 1971,cancer,0.0,1970,1971,3,0,BCS70,-1,1,0.0
12-18 April 1971,cardiovascular,0.0,1970,1971,3,0,BCS70,-1,1,0.0
12-18 April 1971,external,0.0,1970,1971,3,0,BCS70,-1,1,0.0
12-18 April 1971,other,0.0,1970,1971,3,0,BCS70,-1,1,0.0
12-18 April 1971,respiratory,0.0,1970,1971,3,0,BCS70,-1,1,0.0
12-18 April 1972,cancer,0.0,1970,1972,3,0,BCS70,-2,1,0.0
12-18 April 1972,cardiovascular,0.0,1970,1972,3,0,BCS70,-2,1,0.0
12-18 April 1972,external,0.0,1970,1972,3,0,BCS70,-2,1,0.0
12-18 April 1972,other,0.0,1970,1972,3,0,BCS70,-2,1,0.0
12-18 April 1972,respiratory,0.0,1970,1972,3,0,BCS70,-2,1,0.0
15-21 March 1968,cancer,4.0,1970,1968,3,0,BCS70,2,2,0.26085822355549754
15-21 March 1968,cardiovascular,0.0,1970,1968,3,0,BCS70,2,2,0.0
15-21 March 1968,external,2.0,1970,1968,3,0,BCS70,2,2,0.13042911177774877
15-21 March 1968,other,4.0,1970,1968,3,0,BCS70,2,2,0.26085822355549754
15-21 March 1968,respiratory,0.0,1970,1968,3,0,BCS70,2,2,0.0
15-21 March 1969,cancer,2.0,1970,1969,3,0,BCS70,1,2,0.13042911177774877
15-21 March 1969,cardiovascular,0.0,1970,1969,3,0,BCS70,1,2,0.0
15-21 March 1969,external,4.0,1970,1969,3,0,BCS70,1,2,0.26085822355549754
15-21 March 1969,other,17.0,1970,1969,3,0,BCS70,1,2,1.1086474501108647
15-21 March 1969,respiratory,10.0,1970,1969,3,0,BCS70,1,2,0.652145558888744
15-21 March 1970,cancer,2.0,1970,1970,3,0,BCS70,0,2,0.13042911177774877
15-21 March 1970,cardiovascular,4.0,1970,1970,3,0,BCS70,0,2,0.26085822355549754
15-21 March 1970,external,7.0,1970,1970,3,0,BCS70,0,2,0.45650189122212076
15-21 March 1970,other,229.0,1970,1970,3,0,BCS70,0,2,14.934133298552236
15-21 March 1970,respiratory,37.0,1970,1970,3,0,BCS70,0,2,2.4129385678883524
15-21 March 1971,cancer,0.0,1970,1971,3,0,BCS70,-1,2,0.0
15-21 March 1971,cardiovascular,0.0,1970,1971,3,0,BCS70,-1,2,0.0
15-21 March 1971,external,0.0,1970,1971,3,0,BCS70,-1,2,0.0
15-21 March 1971,other,0.0,1970,1971,3,0,BCS70,-1,2,0.0
15-21 March 1971,respiratory,0.0,1970,1971,3,0,BCS70,-1,2,0.0
15-21 March 1972,cancer,0.0,1970,1972,3,0,BCS70,-2,2,0.0
15-21 March 1972,cardiovascular,0.0,1970,1972,3,0,BCS70,-2,2,0.0
15-21 March 1972,external,0.0,1970,1972,3,0,BCS70,-2,2,0.0
15-21 March 1972,other,0.0,1970,1972,3,0,BCS70,-2,2,0.0
15-21 March 1972,respiratory,0.0,1970,1972,3,0,BCS70,-2,2,0.0
17-23 February 1944,cancer,0.0,1970,1944,1,0,NSHD,26,3,0.0
17-23 February 1944,cardiovascular,1.0,1970,1944,1,0,NSHD,26,3,0.06521455588887438
17-23 February 1944,external,4.0,1970,1944,1,0,NSHD,26,3,0.26085822355549754
17-23 February 1944,other,2.0,1970,1944,1,0,NSHD,26,3,0.13042911177774877
17-23 February 1944,respiratory,0.0,1970,1944,1,0,NSHD,26,3,0.0
17-23 February 1945,cancer,1.0,1970,1945,1,0,NSHD,25,3,0.06521455588887438
17-23 February 1945,cardiovascular,1.0,1970,1945,1,0,NSHD,25,3,0.06521455588887438
17-23 February 1945,external,2.0,1970,1945,1,0,NSHD,25,3,0.13042911177774877
17-23 February 1945,other,0.0,1970,1945,1,0,NSHD,25,3,0.0
17-23 February 1945,respiratory,0.0,1970,1945,1,0,NSHD,25,3,0.0
17-23 February 1946,cancer,0.0,1970,1946,1,0,NSHD,24,3,0.0
17-23 February 1946,cardiovascular,0.0,1970,1946,1,0,NSHD,24,3,0.0
17-23 February 1946,external,2.0,1970,1946,1,0,NSHD,24,3,0.13042911177774877
17-23 February 1946,other,3.0,1970,1946,1,0,NSHD,24,3,0.1956436676666232
17-23 February 1946,respiratory,0.0,1970,1946,1,0,NSHD,24,3,0.0
17-23 February 1947,cancer,3.0,1970,1947,1,0,NSHD,23,3,0.1956436676666232
17-23 February 1947,cardiovascular,1.0,1970,1947,1,0,NSHD,23,3,0.06521455588887438
17-23 February 1947,external,7.0,1970,1947,1,0,NSHD,23,3,0.45650189122212076
17-23 February 1947,other,1.0,1970,1947,1,0,NSHD,23,3,0.06521455588887438
17-23 February 1947,respiratory,1.0,1970,1947,1,0,NSHD,23,3,0.06521455588887438
17-23 February 1948,cancer,2.0,1970,1948,1,0,NSHD,22,3,0.13042911177774877
17-23 February 1948,cardiovascular,0.0,1970,1948,1,0,NSHD,22,3,0.0
17-23 February 1948,external,3.0,1970,1948,1,0,NSHD,22,3,0.1956436676666232
17-23 February 1948,other,1.0,1970,1948,1,0,NSHD,22,3,0.06521455588887438
17-23 February 1948,respiratory,0.0,1970,1948,1,0,NSHD,22,3,0.0
17-23 February 1956,cancer,1.0,1970,1956,2,0,NCDS,14,3,0.06521455588887438
17-23 February 1956,cardiovascular,0.0,1970,1956,2,0,NCDS,14,3,0.0
17-23 February 1956,external,0.0,1970,1956,2,0,NCDS,14,3,0.0
17-23 February 1956,other,0.0,1970,1956,2,0,NCDS,14,3,0.0
17-23 February 1956,respiratory,1.0,1970,1956,2,0,NCDS,14,3,0.06521455588887438
17-23 February 1957,cancer,1.0,1970,1957,2,0,NCDS,13,3,0.06521455588887438
17-23 February 1957,cardiovascular,0.0,1970,1957,2,0,NCDS,13,3,0.0
17-23 February 1957,external,1.0,1970,1957,2,0,NCDS,13,3,0.06521455588887438
17-23 February 1957,other,0.0,1970,1957,2,0,NCDS,13,3,0.0
17-23 February 1957,respiratory,0.0,1970,1957,2,0,NCDS,13,3,0.0
17-23 February 1958,cancer,0.0,1970,1958,2,0,NCDS,12,3,0.0
17-23 February 1958,cardiovascular,0.0,1970,1958,2,0,NCDS,12,3,0.0
17-23 February 1958,external,2.0,1970,1958,2,0,NCDS,12,3,0.13042911177774877
17-23 February 1958,other,1.0,1970,1958,2,0,NCDS,12,3,0.06521455588887438
17-23 February 1958,respiratory,0.0,1970,1958,2,0,NCDS,12,3,0.0
17-23 February 1959,cancer,2.0,1970,1959,2,0,NCDS,11,3,0.13042911177774877
17-23 February 1959,cardiovascular,0.0,1970,1959,2,0,NCDS,11,3,0.0
17-23 February 1959,external,2.0,1970,1959,2,0,NCDS,11,3,0.13042911177774877
17-23 February 1959,other,0.0,1970,1959,2,0,NCDS,11,3,0.0
17-23 February 1959,respiratory,0.0,1970,1959,2,0,NCDS,11,3,0.0
17-23 February 1960,cancer,4.0,1970,1960,2,0,NCDS,10,3,0.26085822355549754
17-23 February 1960,cardiovascular,0.0,1970,1960,2,0,NCDS,10,3,0.0
17-23 February 1960,external,2.0,1970,1960,2,0,NCDS,10,3,0.13042911177774877
17-23 February 1960,other,4.0,1970,1960,2,0,NCDS,10,3,0.26085822355549754
17-23 February 1960,respiratory,0.0,1970,1960,2,0,NCDS,10,3,0.0
17-23 March 1944,cancer,3.0,1970,1944,1,0,NSHD,26,4,0.1956436676666232
17-23 March 1944,cardiovascular,0.0,1970,1944,1,0,NSHD,26,4,0.0
17-23 March 1944,external,3.0,1970,1944,1,0,NSHD,26,4,0.1956436676666232
17-23 March 1944,other,4.0,1970,1944,1,0,NSHD,26,4,0.26085822355549754
17-23 March 1944,respiratory,0.0,1970,1944,1,0,NSHD,26,4,0.0
17-23 March 1945,cancer,2.0,1970,1945,1,0,NSHD,25,4,0.13042911177774877
17-23 March 1945,cardiovascular,1.0,1970,1945,1,0,NSHD,25,4,0.06521455588887438
17-23 March 1945,external,1.0,1970,1945,1,0,NSHD,25,4,0.06521455588887438
17-23 March 1945,other,1.0,1970,1945,1,0,NSHD,25,4,0.06521455588887438
17-23 March 1945,respiratory,1.0,1970,1945,1,0,NSHD,25,4,0.06521455588887438
17-23 March 1946,cancer,1.0,1970,1946,1,0,NSHD,24,4,0.06521455588887438
17-23 March 1946,cardiovascular,1.0,1970,1946,1,0,NSHD,24,4,0.06521455588887438
17-23 March 1946,external,8.0,1970,1946,1,0,NSHD,24,4,0.5217164471109951
17-23 March 1946,other,2.0,1970,1946,1,0,NSHD,24,4,0.13042911177774877
17-23 March 1946,respiratory,3.0,1970,1946,1,0,NSHD,24,4,0.1956436676666232
17-23 March 1947,cancer,2.0,1970,1947,1,0,NSHD,23,4,0.13042911177774877
17-23 March 1947,cardiovascular,0.0,1970,1947,1,0,NSHD,23,4,0.0
17-23 March 1947,external,9.0,1970,1947,1,0,NSHD,23,4,0.5869310029998697
17-23 March 1947,other,2.0,1970,1947,1,0,NSHD,23,4,0.13042911177774877
17-23 March 1947,respiratory,0.0,1970,1947,1,0,NSHD,23,4,0.0
17-23 March 1948,cancer,3.0,1970,1948,1,0,NSHD,22,4,0.1956436676666232
17-23 March 1948,cardiovascular,0.0,1970,1948,1,0,NSHD,22,4,0.0
17-23 March 1948,external,4.0,1970,1948,1,0,NSHD,22,4,0.26085822355549754
17-23 March 1948,other,1.0,1970,1948,1,0,NSHD,22,4,0.06521455588887438
17-23 March 1948,respiratory,2.0,1970,1948,1,0,NSHD,22,4,0.13042911177774877
17-23 March 1956,cancer,2.0,1970,1956,2,0,NCDS,14,4,0.13042911177774877
17-23 March 1956,cardiovascular,0.0,1970,1956,2,0,NCDS,14,4,0.0
17-23 March 1956,external,0.0,1970,1956,2,0,NCDS,14,4,0.0
17-23 March 1956,other,1.0,1970,1956,2,0,NCDS,14,4,0.06521455588887438
17-23 March 1956,respiratory,0.0,1970,1956,2,0,NCDS,14,4,0.0
17-23 March 1957,cancer,1.0,1970,1957,2,0,NCDS,13,4,0.06521455588887438
17-23 March 1957,cardiovascular,1.0,1970,1957,2,0,NCDS,13,4,0.06521455588887438
17-23 March 1957,external,2.0,1970,1957,2,0,NCDS,13,4,0.13042911177774877
17-23 March 1957,other,0.0,1970,1957,2,0,NCDS,13,4,0.0
17-23 March 1957,respiratory,0.0,1970,1957,2,0,NCDS,13,4,0.0
17-23 March 1958,cancer,2.0,1970,1958,2,0,NCDS,12,4,0.13042911177774877
17-23 March 1958,cardiovascular,0.0,1970,1958,2,0,NCDS,12,4,0.0
17-23 March 1958,external,1.0,1970,1958,2,0,NCDS,12,4,0.06521455588887438
17-23 March 1958,other,1.0,1970,1958,2,0,NCDS,12,4,0.06521455588887438
17-23 March 1958,respiratory,0.0,1970,1958,2,0,NCDS,12,4,0.0
17-23 March 1959,cancer,2.0,1970,1959,2,0,NCDS,11,4,0.13042911177774877
17-23 March 1959,cardiovascular,0.0,1970,1959,2,0,NCDS,11,4,0.0
17-23 March 1959,external,0.0,1970,1959,2,0,NCDS,11,4,0.0
17-23 March 1959,other,0.0,1970,1959,2,0,NCDS,11,4,0.0
17-23 March 1959,respiratory,0.0,1970,1959,2,0,NCDS,11,4,0.0
17-23 March 1960,cancer,0.0,1970,1960,2,0,NCDS,10,4,0.0
17-23 March 1960,cardiovascular,0.0,1970,1960,2,0,NCDS,10,4,0.0
17-23 March 1960,external,1.0,1970,1960,2,0,NCDS,10,4,0.06521455588887438
17-23 March 1960,other,4.0,1970,1960,2,0,NCDS,10,4,0.26085822355549754
17-23 March 1960,respiratory,1.0,1970,1960,2,0,NCDS,10,4,0.06521455588887438
19-25 April 1968,cancer,3.0,1970,1968,3,0,BCS70,2,3,0.1956436676666232
19-25 April 1968,cardiovascular,0.0,1970,1968,3,0,BCS70,2,3,0.0
19-25 April 1968,external,1.0,1970,1968,3,0,BCS70,2,3,0.06521455588887438
19-25 April 1968,other,8.0,1970,1968,3,0,BCS70,2,3,0.5217164471109951
19-25 April 1968,respiratory,3.0,1970,1968,3,0,BCS70,2,3,0.1956436676666232
19-25 April 1969,cancer,0.0,1970,1969,3,0,BCS70,1,3,0.0
19-25 April 1969,cardiovascular,1.0,1970,1969,3,0,BCS70,1,3,0.06521455588887438
19-25 April 1969,external,5.0,1970,1969,3,0,BCS70,1,3,0.326072779444372
19-25 April 1969,other,10.0,1970,1969,3,0,BCS70,1,3,0.652145558888744
19-25 April 1969,respiratory,5.0,1970,1969,3,0,BCS70,1,3,0.326072779444372
19-25 April 1970,cancer,0.0,1970,1970,3,0,BCS70,0,3,0.0
19-25 April 1970,cardiovascular,1.0,1970,1970,3,0,BCS70,0,3,0.06521455588887438
19-25 April 1970,external,8.0,1970,1970,3,0,BCS70,0,3,0.5217164471109951
19-25 April 1970,other,216.0,1970,1970,3,0,BCS70,0,3,14.08634407199687
19-25 April 1970,respiratory,24.0,1970,1970,3,0,BCS70,0,3,1.5651493413329856
19-25 April 1971,cancer,0.0,1970,1971,3,0,BCS70,-1,3,0.0
19-25 April 1971,cardiovascular,0.0,1970,1971,3,0,BCS70,-1,3,0.0
19-25 April 1971,external,0.0,1970,1971,3,0,BCS70,-1,3,0.0
19-25 April 1971,other,0.0,1970,1971,3,0,BCS70,-1,3,0.0
19-25 April 1971,respiratory,0.0,1970,1971,3,0,BCS70,-1,3,0.0
19-25 April 1972,cancer,0.0,1970,1972,3,0,BCS70,-2,3,0.0
19-25 April 1972,cardiovascular,0.0,1970,1972,3,0,BCS70,-2,3,0.0
19-25 April 1972,external,0.0,1970,1972,3,0,BCS70,-2,3,0.0
19-25 April 1972,other,0.0,1970,1972,3,0,BCS70,-2,3,0.0
19-25 April 1972,respiratory,0.0,1970,1972,3,0,BCS70,-2,3,0.0
22-28 March 1968,cancer,0.0,1970,1968,3,0,BCS70,2,4,0.0
22-28 March 1968,cardiovascular,1.0,1970,1968,3,0,BCS70,2,4,0.06521455588887438
22-28 March 1968,external,2.0,1970,1968,3,0,BCS70,2,4,0.13042911177774877
22-28 March 1968,other,3.0,1970,1968,3,0,BCS70,2,4,0.1956436676666232
22-28 March 1968,respiratory,1.0,1970,1968,3,0,BCS70,2,4,0.06521455588887438
22-28 March 1969,cancer,2.0,1970,1969,3,0,BCS70,1,4,0.13042911177774877
22-28 March 1969,cardiovascular,0.0,1970,1969,3,0,BCS70,1,4,0.0
22-28 March 1969,external,5.0,1970,1969,3,0,BCS70,1,4,0.326072779444372
22-28 March 1969,other,14.0,1970,1969,3,0,BCS70,1,4,0.9130037824442415
22-28 March 1969,respiratory,7.0,1970,1969,3,0,BCS70,1,4,0.45650189122212076
22-28 March 1970,cancer,3.0,1970,1970,3,0,BCS70,0,4,0.1956436676666232
22-28 March 1970,cardiovascular,3.0,1970,1970,3,0,BCS70,0,4,0.1956436676666232
22-28 March 1970,external,11.0,1970,1970,3,0,BCS70,0,4,0.7173601147776184
22-28 March 1970,other,226.0,1970,1970,3,0,BCS70,0,4,14.738489630885613
22-28 March 1970,respiratory,49.0,1970,1970,3,0,BCS70,0,4,3.1955132385548453
22-28 March 1971,cancer,0.0,1970,1971,3,0,BCS70,-1,4,0.0
22-28 March 1971,cardiovascular,0.0,1970,1971,3,0,BCS70,-1,4,0.0
22-28 March 1971,external,0.0,1970,1971,3,0,BCS70,-1,4,0.0
22-28 March 1971,other,0.0,1970,1971,3,0,BCS70,-1,4,0.0
22-28 March 1971,respiratory,0.0,1970,1971,3,0,BCS70,-1,4,0.0
22-28 March 1972,cancer,0.0,1970,1972,3,0,BCS70,-2,4,0.0
22-28 March 1972,cardiovascular,0.0,1970,1972,3,0,BCS70,-2,4,0.0
22-28 March 1972,external,0.0,1970,1972,3,0,BCS70,-2,4,0.0
22-28 March 1972,other,0.0,1970,1972,3,0,BCS70,-2,4,0.0
22-28 March 1972,respiratory,0.0,1970,1972,3,0,BCS70,-2,4,0.0
24-1 Feb/March 1944,cancer,2.0,1970,1944,1,0,NSHD,26,5,0.13042911177774877
24-1 Feb/March 1944,cardiovascular,2.0,1970,1944,1,0,NSHD,26,5,0.13042911177774877
24-1 Feb/March 1944,external,2.0,1970,1944,1,0,NSHD,26,5,0.13042911177774877
24-1 Feb/March 1944,other,3.0,1970,1944,1,0,NSHD,26,5,0.1956436676666232
24-1 Feb/March 1944,respiratory,1.0,1970,1944,1,0,NSHD,26,5,0.06521455588887438
24-1 Feb/March 1948,cancer,4.0,1970,1948,1,0,NSHD,22,5,0.26085822355549754
24-1 Feb/March 1948,cardiovascular,3.0,1970,1948,1,0,NSHD,22,5,0.1956436676666232
24-1 Feb/March 1948,external,6.0,1970,1948,1,0,NSHD,22,5,0.3912873353332464
24-1 Feb/March 1948,other,1.0,1970,1948,1,0,NSHD,22,5,0.06521455588887438
24-1 Feb/March 1948,respiratory,0.0,1970,1948,1,0,NSHD,22,5,0.0
24-1 Feb/March 1956,cancer,0.0,1970,1956,2,0,NCDS,14,5,0.0
24-1 Feb/March 1956,cardiovascular,0.0,1970,1956,2,0,NCDS,14,5,0.0
24-1 Feb/March 1956,external,5.0,1970,1956,2,0,NCDS,14,5,0.326072779444372
24-1 Feb/March 1956,other,1.0,1970,1956,2,0,NCDS,14,5,0.06521455588887438
24-1 Feb/March 1956,respiratory,1.0,1970,1956,2,0,NCDS,14,5,0.06521455588887438
24-1 Feb/March 1960,cancer,2.0,1970,1960,2,0,NCDS,10,5,0.13042911177774877
24-1 Feb/March 1960,cardiovascular,0.0,1970,1960,2,0,NCDS,10,5,0.0
24-1 Feb/March 1960,external,1.0,1970,1960,2,0,NCDS,10,5,0.06521455588887438
24-1 Feb/March 1960,other,2.0,1970,1960,2,0,NCDS,10,5,0.13042911177774877
24-1 Feb/March 1960,respiratory,0.0,1970,1960,2,0,NCDS,10,5,0.0
24-2 Feb/March 1945,cancer,2.0,1970,1945,1,0,NSHD,25,5,0.13042911177774877
