,coef,se,t,pval,ci_lo,ci_hi
C(year)[T.1946],-0.0816558851629641,0.06241769478043298,-1.3082169319165886,0.19079974068419003,-0.20399231893062647,0.04068054860469826
C(year)[T.1947],-0.2830287607972641,0.055705633297857444,-5.080792444884564,3.7586361334604886e-07,-0.39220979579705983,-0.1738477257974683
C(year)[T.1948],-0.2730594784718566,0.05237214957191824,-5.213829882939731,1.8498111942811815e-07,-0.37570700542576113,-0.17041195151795202
C(year)[T.1956],-0.232860237860835,0.04513404437262689,-5.159303605463312,2.478700808327457e-07,-0.3213213393078164,-0.1443991364138536
C(year)[T.1957],-0.22565251440468093,0.04548894466338163,-4.960601220241762,7.027533007749058e-07,-0.31480920763964443,-0.13649582116971742
C(year)[T.1958],-0.25219005336595324,0.046349292820754465,-5.441076616664723,5.29595296136327e-08,-0.3430329980035329,-0.1613471087283736
C(year)[T.1959],-0.2654030984374073,0.045549783248558406,-5.82665996431074,5.654766402765391e-09,-0.3546790331081876,-0.17612716376662696
C(year)[T.1960],-0.3251568266033007,0.04553630016751734,-7.140607063093075,9.291962407374956e-13,-0.4144063349208399,-0.23590731828576147
C(year)[T.1968],-0.29671325303603574,0.04857619325686512,-6.108203075260579,1.007590995359975e-09,-0.3919208423255488,-0.20150566374652268
C(year)[T.1969],-0.2749901837554995,0.04723052127230738,-5.822298300923776,5.8043829238822104e-09,-0.3675603044202749,-0.18242006309072412
C(year)[T.1970],-0.25450775698344885,0.050620366723019526,-5.027773867701197,4.962065278842421e-07,-0.35372185264477696,-0.15529366132212075
C(year)[T.1971],-0.2884070717831039,0.04498808919331874,-6.410742864489913,1.4481226345595173e-10,-0.3765821063352842,-0.20023203723092353
C(year)[T.1972],-0.310060181900992,0.047077036085091235,-6.586229883728482,4.5113515110664746e-11,-0.40232947712666334,-0.21779088667532065
C(week_in_year)[T.2],0.030993320953055164,0.028099373862849882,1.102989735797329,0.270031622581661,-0.02408043980625674,0.08606708171236707
C(week_in_year)[T.3],0.019185971312581367,0.03549113600494166,0.5405848747673216,0.5887937454465655,-0.050375377027517064,0.08874731965267979
C(week_in_year)[T.4],0.059083593702977465,0.02848809163431053,2.0739751353445617,0.03808162015834948,0.0032479601114520154,0.11491922729450291
C(week_in_year)[T.5],0.010478913938449677,0.03238131353206044,0.32360990940267453,0.7462333847437931,-0.05298729435648827,0.07394512223338762
C(week_in_year)[T.6],0.06374009641959905,0.029303172628704178,2.17519438005023,0.02961555315280434,0.006306933434578957,0.12117325940461914
C(week_in_year)[T.7],0.06318012411365863,0.031527469422929236,2.0039706728796034,0.045073202055078414,0.001387419521029526,0.12497282870628773
C(week_in_year)[T.8],0.022403857132403178,0.028819544120839556,0.7773841611950703,0.43693215429246113,-0.034081411395305405,0.07888912566011176
C(week_in_year)[T.9],0.08354458319122948,0.036110330719938216,2.313592302412799,0.020690096329808488,0.01276963551032026,0.1543195308721387
cohort,0.061133843124513164,0.029161491597756238,2.0963894428917675,0.03604765813949145,0.003978369857443542,0.11828931639158279
