birth_week,birth_year,group,cohort,study,week_in_year,age,cause,deaths,rate
10-16 February 1944,1944,1,0,NSHD,1,35,respiratory,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,36,cancer,8.0,0.5217164471109951
10-16 February 1944,1944,1,0,NSHD,1,36,cardiovascular,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,36,external,7.0,0.45650189122212076
10-16 February 1944,1944,1,0,NSHD,1,36,other,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,36,respiratory,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,37,cancer,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,37,cardiovascular,5.0,0.326072779444372
10-16 February 1944,1944,1,0,NSHD,1,37,external,6.0,0.3912873353332464
10-16 February 1944,1944,1,0,NSHD,1,37,other,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,37,respiratory,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,38,cancer,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,38,cardiovascular,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,38,external,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,38,other,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,38,respiratory,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,39,cancer,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,39,cardiovascular,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,39,external,7.0,0.45650189122212076
10-16 February 1944,1944,1,0,NSHD,1,39,other,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,39,respiratory,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,40,cancer,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,40,cardiovascular,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,40,external,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,40,other,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,40,respiratory,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,41,cancer,7.0,0.45650189122212076
10-16 February 1944,1944,1,0,NSHD,1,41,cardiovascular,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,41,external,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,41,other,6.0,0.3912873353332464
10-16 February 1944,1944,1,0,NSHD,1,41,respiratory,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,42,cancer,5.0,0.326072779444372
10-16 February 1944,1944,1,0,NSHD,1,42,cardiovascular,6.0,0.3912873353332464
10-16 February 1944,1944,1,0,NSHD,1,42,external,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,42,other,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,42,respiratory,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,43,cancer,10.0,0.652145558888744
10-16 February 1944,1944,1,0,NSHD,1,43,cardiovascular,12.0,0.7825746706664928
10-16 February 1944,1944,1,0,NSHD,1,43,external,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,43,other,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,43,respiratory,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,44,cancer,15.0,0.978218338333116
10-16 February 1944,1944,1,0,NSHD,1,44,cardiovascular,11.0,0.7173601147776184
10-16 February 1944,1944,1,0,NSHD,1,44,external,6.0,0.3912873353332464
10-16 February 1944,1944,1,0,NSHD,1,44,other,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,44,respiratory,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,45,cancer,7.0,0.45650189122212076
10-16 February 1944,1944,1,0,NSHD,1,45,cardiovascular,7.0,0.45650189122212076
10-16 February 1944,1944,1,0,NSHD,1,45,external,7.0,0.45650189122212076
10-16 February 1944,1944,1,0,NSHD,1,45,other,7.0,0.45650189122212076
10-16 February 1944,1944,1,0,NSHD,1,45,respiratory,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,46,cancer,13.0,0.8477892265553671
10-16 February 1944,1944,1,0,NSHD,1,46,cardiovascular,11.0,0.7173601147776184
10-16 February 1944,1944,1,0,NSHD,1,46,external,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,46,other,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,46,respiratory,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,47,cancer,20.0,1.304291117777488
10-16 February 1944,1944,1,0,NSHD,1,47,cardiovascular,10.0,0.652145558888744
10-16 February 1944,1944,1,0,NSHD,1,47,external,6.0,0.3912873353332464
10-16 February 1944,1944,1,0,NSHD,1,47,other,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,47,respiratory,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,48,cancer,19.0,1.2390765618886135
10-16 February 1944,1944,1,0,NSHD,1,48,cardiovascular,11.0,0.7173601147776184
10-16 February 1944,1944,1,0,NSHD,1,48,external,6.0,0.3912873353332464
10-16 February 1944,1944,1,0,NSHD,1,48,other,7.0,0.45650189122212076
10-16 February 1944,1944,1,0,NSHD,1,48,respiratory,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,49,cancer,13.0,0.8477892265553671
10-16 February 1944,1944,1,0,NSHD,1,49,cardiovascular,13.0,0.8477892265553671
10-16 February 1944,1944,1,0,NSHD,1,49,external,8.0,0.5217164471109951
10-16 February 1944,1944,1,0,NSHD,1,49,other,6.0,0.3912873353332464
10-16 February 1944,1944,1,0,NSHD,1,49,respiratory,5.0,0.326072779444372
10-16 February 1944,1944,1,0,NSHD,1,50,cancer,19.0,1.2390765618886135
10-16 February 1944,1944,1,0,NSHD,1,50,cardiovascular,14.0,0.9130037824442415
10-16 February 1944,1944,1,0,NSHD,1,50,external,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,50,other,7.0,0.45650189122212076
10-16 February 1944,1944,1,0,NSHD,1,50,respiratory,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,51,cancer,23.0,1.4999347854441112
10-16 February 1944,1944,1,0,NSHD,1,51,cardiovascular,18.0,1.1738620059997393
10-16 February 1944,1944,1,0,NSHD,1,51,external,5.0,0.326072779444372
10-16 February 1944,1944,1,0,NSHD,1,51,other,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,51,respiratory,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,52,cancer,21.0,1.3695056736663622
10-16 February 1944,1944,1,0,NSHD,1,52,cardiovascular,17.0,1.1086474501108647
10-16 February 1944,1944,1,0,NSHD,1,52,external,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,52,other,10.0,0.652145558888744
10-16 February 1944,1944,1,0,NSHD,1,52,respiratory,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,53,cancer,24.0,1.5651493413329856
10-16 February 1944,1944,1,0,NSHD,1,53,cardiovascular,20.0,1.304291117777488
10-16 February 1944,1944,1,0,NSHD,1,53,external,5.0,0.326072779444372
10-16 February 1944,1944,1,0,NSHD,1,53,other,6.0,0.3912873353332464
10-16 February 1944,1944,1,0,NSHD,1,53,respiratory,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,54,cancer,17.0,1.1086474501108647
10-16 February 1944,1944,1,0,NSHD,1,54,cardiovascular,24.0,1.5651493413329856
10-16 February 1944,1944,1,0,NSHD,1,54,external,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,54,other,8.0,0.5217164471109951
10-16 February 1944,1944,1,0,NSHD,1,54,respiratory,7.0,0.45650189122212076
10-16 February 1944,1944,1,0,NSHD,1,55,cancer,28.0,1.826007564888483
10-16 February 1944,1944,1,0,NSHD,1,55,cardiovascular,19.0,1.2390765618886135
10-16 February 1944,1944,1,0,NSHD,1,55,external,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,55,other,12.0,0.7825746706664928
10-16 February 1944,1944,1,0,NSHD,1,55,respiratory,5.0,0.326072779444372
10-16 February 1944,1944,1,0,NSHD,1,56,cancer,38.0,2.478153123777227
10-16 February 1944,1944,1,0,NSHD,1,56,cardiovascular,19.0,1.2390765618886135
10-16 February 1944,1944,1,0,NSHD,1,56,external,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,56,other,7.0,0.45650189122212076
10-16 February 1944,1944,1,0,NSHD,1,56,respiratory,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,57,cancer,40.0,2.608582235554976
10-16 February 1944,1944,1,0,NSHD,1,57,cardiovascular,32.0,2.0868657884439803
10-16 February 1944,1944,1,0,NSHD,1,57,external,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,57,other,11.0,0.7173601147776184
10-16 February 1944,1944,1,0,NSHD,1,57,respiratory,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,58,cancer,30.0,1.956436676666232
10-16 February 1944,1944,1,0,NSHD,1,58,cardiovascular,17.0,1.1086474501108647
10-16 February 1944,1944,1,0,NSHD,1,58,external,5.0,0.326072779444372
10-16 February 1944,1944,1,0,NSHD,1,58,other,8.0,0.5217164471109951
10-16 February 1944,1944,1,0,NSHD,1,58,respiratory,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,59,cancer,40.0,2.608582235554976
10-16 February 1944,1944,1,0,NSHD,1,59,cardiovascular,21.0,1.3695056736663622
10-16 February 1944,1944,1,0,NSHD,1,59,external,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,59,other,14.0,0.9130037824442415
10-16 February 1944,1944,1,0,NSHD,1,59,respiratory,7.0,0.45650189122212076
10-16 February 1944,1944,1,0,NSHD,1,60,cancer,44.0,2.8694404591104736
10-16 February 1944,1944,1,0,NSHD,1,60,cardiovascular,26.0,1.6955784531107343
10-16 February 1944,1944,1,0,NSHD,1,60,external,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,60,other,17.0,1.1086474501108647
10-16 February 1944,1944,1,0,NSHD,1,60,respiratory,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,61,cancer,54.0,3.5215860179992173
10-16 February 1944,1944,1,0,NSHD,1,61,cardiovascular,13.0,0.8477892265553671
10-16 February 1944,1944,1,0,NSHD,1,61,external,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,61,other,18.0,1.1738620059997393
10-16 February 1944,1944,1,0,NSHD,1,61,respiratory,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,62,cancer,55.0,3.586800573888092
10-16 February 1944,1944,1,0,NSHD,1,62,cardiovascular,26.0,1.6955784531107343
10-16 February 1944,1944,1,0,NSHD,1,62,external,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,62,other,14.0,0.9130037824442415
10-16 February 1944,1944,1,0,NSHD,1,62,respiratory,12.0,0.7825746706664928
10-16 February 1944,1944,1,0,NSHD,1,63,cancer,56.0,3.652015129776966
10-16 February 1944,1944,1,0,NSHD,1,63,cardiovascular,23.0,1.4999347854441112
10-16 February 1944,1944,1,0,NSHD,1,63,external,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,63,other,11.0,0.7173601147776184
10-16 February 1944,1944,1,0,NSHD,1,63,respiratory,14.0,0.9130037824442415
10-16 February 1944,1944,1,0,NSHD,1,64,cancer,55.0,3.586800573888092
10-16 February 1944,1944,1,0,NSHD,1,64,cardiovascular,33.0,2.152080344332855
10-16 February 1944,1944,1,0,NSHD,1,64,external,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,64,other,18.0,1.1738620059997393
10-16 February 1944,1944,1,0,NSHD,1,64,respiratory,8.0,0.5217164471109951
10-16 February 1944,1944,1,0,NSHD,1,65,cancer,56.0,3.652015129776966
10-16 February 1944,1944,1,0,NSHD,1,65,cardiovascular,22.0,1.4347202295552368
10-16 February 1944,1944,1,0,NSHD,1,65,external,5.0,0.326072779444372
10-16 February 1944,1944,1,0,NSHD,1,65,other,16.0,1.0434328942219901
10-16 February 1944,1944,1,0,NSHD,1,65,respiratory,8.0,0.5217164471109951
10-16 February 1944,1944,1,0,NSHD,1,66,cancer,49.0,3.1955132385548453
10-16 February 1944,1944,1,0,NSHD,1,66,cardiovascular,43.0,2.804225903221599
10-16 February 1944,1944,1,0,NSHD,1,66,external,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,66,other,17.0,1.1086474501108647
10-16 February 1944,1944,1,0,NSHD,1,66,respiratory,9.0,0.5869310029998697
10-16 February 1944,1944,1,0,NSHD,1,67,cancer,77.0,5.0215208034433285
10-16 February 1944,1944,1,0,NSHD,1,67,cardiovascular,37.0,2.4129385678883524
10-16 February 1944,1944,1,0,NSHD,1,67,external,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,67,other,16.0,1.0434328942219901
10-16 February 1944,1944,1,0,NSHD,1,67,respiratory,18.0,1.1738620059997393
10-16 February 1944,1944,1,0,NSHD,1,68,cancer,67.0,4.369375244554585
10-16 February 1944,1944,1,0,NSHD,1,68,cardiovascular,45.0,2.9346550149993478
10-16 February 1944,1944,1,0,NSHD,1,68,external,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,68,other,19.0,1.2390765618886135
10-16 February 1944,1944,1,0,NSHD,1,68,respiratory,28.0,1.826007564888483
10-16 February 1944,1944,1,0,NSHD,1,69,cancer,76.0,4.956306247554454
10-16 February 1944,1944,1,0,NSHD,1,69,cardiovascular,42.0,2.7390113473327244
10-16 February 1944,1944,1,0,NSHD,1,69,external,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,69,other,21.0,1.3695056736663622
10-16 February 1944,1944,1,0,NSHD,1,69,respiratory,20.0,1.304291117777488
10-16 February 1945,1945,1,0,NSHD,1,25,cancer,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,25,cardiovascular,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,25,external,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,25,other,3.0,0.1956436676666232
10-16 February 1945,1945,1,0,NSHD,1,25,respiratory,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,26,cancer,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,26,cardiovascular,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,26,external,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,26,other,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,26,respiratory,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,27,cancer,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,27,cardiovascular,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,27,external,5.0,0.326072779444372
10-16 February 1945,1945,1,0,NSHD,1,27,other,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,27,respiratory,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,28,cancer,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,28,cardiovascular,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,28,external,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,28,other,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,28,respiratory,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,29,cancer,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,29,cardiovascular,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,29,external,3.0,0.1956436676666232
10-16 February 1945,1945,1,0,NSHD,1,29,other,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,29,respiratory,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,30,cancer,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,30,cardiovascular,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,30,external,6.0,0.3912873353332464
10-16 February 1945,1945,1,0,NSHD,1,30,other,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,30,respiratory,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,31,cancer,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,31,cardiovascular,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,31,external,3.0,0.1956436676666232
10-16 February 1945,1945,1,0,NSHD,1,31,other,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,31,respiratory,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,32,cancer,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,32,cardiovascular,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,32,external,3.0,0.1956436676666232
10-16 February 1945,1945,1,0,NSHD,1,32,other,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,32,respiratory,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,33,cancer,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,33,cardiovascular,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,33,external,5.0,0.326072779444372
10-16 February 1945,1945,1,0,NSHD,1,33,other,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,33,respiratory,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,34,cancer,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,34,cardiovascular,3.0,0.1956436676666232
10-16 February 1945,1945,1,0,NSHD,1,34,external,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,34,other,3.0,0.1956436676666232
10-16 February 1945,1945,1,0,NSHD,1,34,respiratory,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,35,cancer,8.0,0.5217164471109951
10-16 February 1945,1945,1,0,NSHD,1,35,cardiovascular,5.0,0.326072779444372
10-16 February 1945,1945,1,0,NSHD,1,35,external,7.0,0.45650189122212076
10-16 February 1945,1945,1,0,NSHD,1,35,other,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,35,respiratory,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,36,cancer,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,36,cardiovascular,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,36,external,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,36,other,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,36,respiratory,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,37,cancer,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,37,cardiovascular,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,37,external,5.0,0.326072779444372
10-16 February 1945,1945,1,0,NSHD,1,37,other,3.0,0.1956436676666232
10-16 February 1945,1945,1,0,NSHD,1,37,respiratory,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,38,cancer,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,38,cardiovascular,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,38,external,3.0,0.1956436676666232
10-16 February 1945,1945,1,0,NSHD,1,38,other,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,38,respiratory,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,39,cancer,9.0,0.5869310029998697
10-16 February 1945,1945,1,0,NSHD,1,39,cardiovascular,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,39,external,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,39,other,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,39,respiratory,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,40,cancer,3.0,0.1956436676666232
10-16 February 1945,1945,1,0,NSHD,1,40,cardiovascular,7.0,0.45650189122212076
10-16 February 1945,1945,1,0,NSHD,1,40,external,5.0,0.326072779444372
10-16 February 1945,1945,1,0,NSHD,1,40,other,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,40,respiratory,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,41,cancer,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,41,cardiovascular,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,41,external,5.0,0.326072779444372
10-16 February 1945,1945,1,0,NSHD,1,41,other,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,41,respiratory,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,42,cancer,9.0,0.5869310029998697
10-16 February 1945,1945,1,0,NSHD,1,42,cardiovascular,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,42,external,7.0,0.45650189122212076
10-16 February 1945,1945,1,0,NSHD,1,42,other,3.0,0.1956436676666232
10-16 February 1945,1945,1,0,NSHD,1,42,respiratory,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,43,cancer,8.0,0.5217164471109951
10-16 February 1945,1945,1,0,NSHD,1,43,cardiovascular,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,43,external,7.0,0.45650189122212076
10-16 February 1945,1945,1,0,NSHD,1,43,other,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,43,respiratory,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,44,cancer,11.0,0.7173601147776184
10-16 February 1945,1945,1,0,NSHD,1,44,cardiovascular,6.0,0.3912873353332464
10-16 February 1945,1945,1,0,NSHD,1,44,external,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,44,other,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,44,respiratory,0.0,0.0
10-16 February 1945,1945,1,0,NSHD,1,45,cancer,14.0,0.9130037824442415
10-16 February 1945,1945,1,0,NSHD,1,45,cardiovascular,13.0,0.8477892265553671
10-16 February 1945,1945,1,0,NSHD,1,45,external,6.0,0.3912873353332464
10-16 February 1945,1945,1,0,NSHD,1,45,other,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,45,respiratory,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,46,cancer,13.0,0.8477892265553671
10-16 February 1945,1945,1,0,NSHD,1,46,cardiovascular,10.0,0.652145558888744
10-16 February 1945,1945,1,0,NSHD,1,46,external,7.0,0.45650189122212076
10-16 February 1945,1945,1,0,NSHD,1,46,other,2.0,0.13042911177774877
10-16 February 1945,1945,1,0,NSHD,1,46,respiratory,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,47,cancer,19.0,1.2390765618886135
10-16 February 1945,1945,1,0,NSHD,1,47,cardiovascular,11.0,0.7173601147776184
10-16 February 1945,1945,1,0,NSHD,1,47,external,3.0,0.1956436676666232
10-16 February 1945,1945,1,0,NSHD,1,47,other,4.0,0.26085822355549754
10-16 February 1945,1945,1,0,NSHD,1,47,respiratory,1.0,0.06521455588887438
10-16 February 1945,1945,1,0,NSHD,1,48,cancer,6.0,0.3912873353332464
10-16 February 1945,1945,1,0,NSHD,1,48,cardiovascular,10.0,0.652145558888744
