,coef,se,t,pval,ci_lo,ci_hi
C(age_needed)[T.60],5.978413780948496,0.10178885889654135,58.73347874962408,0.0,5.778911283483845,6.1779162784131465
C(age_needed)[T.61],6.349786871424289,0.11537097427206969,55.037992974299755,0.0,6.123663916989735,6.575909825858843
C(age_needed)[T.62],6.625678649582028,0.10554464506583766,62.77607590085691,0.0,6.418814946491923,6.8325423526721325
C(age_needed)[T.63],7.259312554135481,0.12126802413020613,59.86172040158846,0.0,7.021631594363943,7.496993513907019
C(age_needed)[T.64],7.5827990568620915,0.13083884582395935,57.95525792901424,0.0,7.3263596312683426,7.8392384824558405
C(age_needed)[T.65],8.094624931707436,0.13141055315748582,61.59798233256524,0.0,7.837064980330277,8.352184883084595
C(age_needed)[T.66],8.456891486208846,0.1453937637174386,58.165434816338845,0.0,8.17192494574594,8.741858026671752
C(age_needed)[T.67],9.256227339180604,0.17032064075939723,54.34589312199909,0.0,8.922405017468401,9.590049660892808
C(age_needed)[T.68],9.903562533355824,0.22344493475432675,44.322161718477055,0.0,9.465618508709442,10.341506558002207
C(age_needed)[T.69],10.599377507996115,0.34127513956155403,31.058158884978962,8.852820810234714e-212,9.93049052563659,11.26826449035564
C(age_needed)[T.7],0.2766811586424406,0.021254305079748553,13.017652546357157,9.711060981187404e-39,0.2350234861697067,0.31833883111517447
C(age_needed)[T.8],0.23591083320868028,0.018139066049516747,13.005676949666618,1.1358857110637165e-38,0.20035891703843423,0.27146274937892634
C(age_needed)[T.9],0.231967389137257,0.020730882940553138,11.189460178924135,4.592208588827451e-29,0.19133560520605705,0.272599173068457
C(year)[T.1945],-0.13986240061537086,0.057074743337190925,-2.4505130016806227,0.014265281064290371,-0.2517268419831325,-0.02799795924760924
C(year)[T.1946],-0.08165588516297542,0.062417694780433214,-1.3082169319167651,0.1907997406841302,-0.20399231893063824,0.040680548604687394
C(year)[T.1947],-0.283028760797271,0.05570563329785746,-5.080792444884687,3.7586361334580396e-07,-0.39220979579706683,-0.1738477257974752
C(year)[T.1948],-0.27305947847186773,0.05237214957191875,-5.213829882939894,1.849811194279554e-07,-0.3757070054257733,-0.17041195151796218
C(year)[T.1956],-0.23286023786083831,0.04513404437262738,-5.159303605463329,2.4787008083272337e-07,-0.3213213393078207,-0.14439913641385596
C(year)[T.1957],-0.2256525144046804,0.045488944663382345,-4.9606012202416725,7.027533007752285e-07,-0.31480920763964526,-0.1364958211697155
C(year)[T.1958],-0.2521900533659578,0.046349292820754666,-5.441076616664797,5.295952961361046e-08,-0.3430329980035378,-0.16134710872837776
C(year)[T.1959],-0.2654030984374087,0.04554978324855918,-5.826659964310673,5.654766402767641e-09,-0.3546790331081906,-0.17612716376662688
C(year)[T.1960],-0.32515682660330314,0.04553630016751772,-7.14060706309307,9.291962407375291e-13,-0.4144063349208431,-0.23590731828576317
C(year)[T.1968],-0.29671325303604135,0.048576193256865165,-6.108203075260689,1.0075909953592772e-09,-0.3919208423255545,-0.20150566374652817
C(year)[T.1969],-0.2749901837554999,0.047230521272307945,-5.822298300923714,5.804382923884309e-09,-0.3675603044202763,-0.18242006309072342
C(year)[T.1970],-0.2545077569834565,0.05062036672301997,-5.027773867701304,4.962065278839644e-07,-0.3537218526447855,-0.15529366132212752
C(year)[T.1971],-0.2884070717831011,0.04498808919331913,-6.410742864489796,1.4481226345606283e-10,-0.3765821063352822,-0.20023203723091998
C(year)[T.1972],-0.31006018190099105,0.047077036085091686,-6.586229883728398,4.5113515110689955e-11,-0.4023294771266632,-0.21779088667531885
C(week_ref5)[T.2],0.03099332095305258,0.028099373862849976,1.1029897357972334,0.27003162258170255,-0.024080439806259513,0.08606708171236467
C(week_ref5)[T.3],0.019185971312579868,0.03549113600494155,0.5405848747672811,0.5887937454465935,-0.05037537702751834,0.08874731965267807
C(week_ref5)[T.4],0.059083593702970394,0.028488091634310812,2.073975135344293,0.03808162015837446,0.0032479601114443965,0.11491922729449638
C(week_ref5)[T.6],0.06374009641959752,0.029303172628704438,2.1751943800501583,0.029615553152809698,0.006306933434576917,0.12117325940461812
C(week_ref5)[T.7],0.0631801241136554,0.031527469422929534,2.003970672879482,0.045073202055091396,0.0013874195210257095,0.12497282870628508
C(week_ref5)[T.8],0.022403857132403227,0.028819544120840146,0.777384161195056,0.43693215429246957,-0.034081411395306516,0.07888912566011297
C(week_ref5)[T.9],0.08354458319122653,0.03611033071993826,2.3135923024127143,0.020690096329813154,0.01276963551031722,0.15431953087213585
C(week_ref5)[T.ref],0.010478913938437537,0.03238131353206093,0.32360990940229467,0.7462333847440807,-0.05298729435650138,0.07394512223337646
cohort,0.06113384312451135,0.02916149159775689,2.0963894428916587,0.036047658139501094,0.003978369857440454,0.11828931639158224
