level,year,subject,grade,gap_pair,T,B,W,B_pct,W_pct,n_units_a,n_units_b,n_units_both
District,2018-19,Mathematics,5,HW,29.758600938073798,11.96435788742989,17.794243050643907,40.204705565047014,59.79529443495298,258,113,111
District,2018-19,Mathematics,6,BW,40.22295752317493,20.297907398949793,19.925050124225134,50.4634881392173,49.536511860782696,270,38,38
District,2018-19,Mathematics,6,HW,29.63414397500089,12.012270865726562,17.621873109274325,40.53523825712668,59.46476174287331,270,110,108
District,2018-19,Mathematics,7,BW,40.17029232008752,18.77432582548987,21.395966494597648,46.73684143468779,53.2631585653122,263,35,35
District,2018-19,Mathematics,7,HW,29.12033059204298,10.307655457629942,18.812675134413038,35.396766616538585,64.60323338346141,263,118,117
District,2018-19,Mathematics,8,BW,35.341053078375396,18.11725832406286,17.223794754312536,51.26405906435343,48.73594093564657,265,38,38
District,2018-19,Mathematics,8,HW,26.7154775756987,10.235667286994294,16.479810288704407,38.313622722975396,61.686377277024604,265,106,105
District,2021-22,ELA,3,BW,36.76129717674783,17.932712425916783,18.828584750831048,48.78150066276644,51.21849933723356,263,26,26
District,2021-22,ELA,3,HW,27.5761997254122,10.775143818892069,16.80105590652013,39.07407085162096,60.92592914837903,263,111,110
District,2021-22,ELA,4,BW,40.42302447332649,19.284922697219486,21.138101776107007,47.70776790822473,52.29223209177526,253,31,31
District,2021-22,ELA,4,HW,29.410307284747656,10.839465372855516,18.57084191189214,36.85600856838691,63.14399143161309,253,125,122
District,2021-22,ELA,5,BW,41.26813952124706,21.109171225666184,20.158968295580873,51.15125486768805,48.84874513231194,269,38,38
District,2021-22,ELA,5,HW,27.3000949940666,10.351652782228145,16.948442211838454,37.91801011856542,62.08198988143458,269,112,110
District,2021-22,ELA,6,BW,35.433289545305115,16.38393783663034,19.049351708674774,46.238828081941946,53.761171918058054,276,36,36
District,2021-22,ELA,6,HW,25.697442948259603,9.986823595398068,15.710619352861535,38.863102509872256,61.13689749012775,276,119,118
District,2021-22,ELA,7,BW,34.38159377294486,15.820631022401892,18.56096275054297,46.01482737211347,53.985172627886534,279,31,31
District,2021-22,ELA,7,HW,25.821241035980723,9.790669203390514,16.03057183259021,37.917113239242305,62.08288676075769,279,111,110
District,2021-22,ELA,8,BW,29.41491491423335,13.062644907460584,16.352270006772766,44.40823624867874,55.59176375132126,268,34,34
District,2021-22,ELA,8,HW,22.35821715378382,7.753661372567016,14.604555781216803,34.67924709396973,65.32075290603026,268,118,116
District,2021-22,Mathematics,3,BW,46.23652533007769,24.421039611396683,21.815485718681007,52.81763592107635,47.18236407892364,263,27,27
District,2021-22,Mathematics,3,HW,32.48638627759911,14.232672493286687,18.253713784312424,43.811190237249576,56.18880976275043,263,113,112
District,2021-22,Mathematics,4,BW,47.376903098966345,24.777995684249902,22.598907414716443,52.299736925587474,47.70026307441251,253,31,31
District,2021-22,Mathematics,4,HW,34.36468609888777,13.85067440814478,20.514011690742993,40.30496413756872,59.69503586243129,253,129,126
District,2021-22,Mathematics,5,BW,48.15774914064956,26.588185167306737,21.56956397334282,55.210606063944695,44.789393936055305,269,35,35
District,2021-22,Mathematics,5,HW,32.27138168239928,13.364440714568067,18.90694096783121,41.4126697334964,58.58733026650359,269,110,108
District,2021-22,Mathematics,6,BW,39.26632229983858,21.27728798733644,17.989034312502138,54.18711695193291,45.81288304806709,276,37,37
District,2021-22,Mathematics,6,HW,30.942195051552616,14.078953067376698,16.863241984175918,45.500821916220985,54.499178083779015,276,115,114
District,2021-22,Mathematics,7,BW,34.440798736106075,17.057768985601637,17.383029750504438,49.52779729733473,50.47220270266528,277,27,27
District,2021-22,Mathematics,7,HW,28.927026757388823,12.652729329606322,16.2742974277825,43.74016533301142,56.259834666988574,277,106,105
District,2021-22,Mathematics,8,BW,30.703169158810198,16.460424569656855,14.242744589153343,53.61148383255276,46.388516167447236,268,32,32
District,2021-22,Mathematics,8,HW,25.063199315269728,10.67677171311276,14.386427602156967,42.599396744245446,57.40060325575455,268,115,113
District,2022-23,ELA,3,BW,41.06218277900019,19.403716073642578,21.65846670535761,47.25446812721784,52.74553187278215,276,26,26
District,2022-23,ELA,3,HW,28.24452498659545,9.58637248856643,18.65815249802902,33.94063979874337,66.05936020125662,276,119,116
District,2022-23,ELA,4,BW,45.72846898274101,22.743553928148373,22.98491505459264,49.736093147427084,50.26390685257291,258,28,28
District,2022-23,ELA,4,HW,29.842079025242022,11.634046029499434,18.208032995742588,38.98537370556099,61.01462629443901,258,117,115
District,2022-23,ELA,5,BW,43.38756435257205,20.693297600600843,22.694266751971206,47.694075271072755,52.305924728927245,261,31,31
District,2022-23,ELA,5,HW,28.130691009682177,9.976100773677821,18.154590236004356,35.46340461471135,64.53659538528865,261,126,124
District,2022-23,ELA,6,BW,40.53331830048183,20.250860045370004,20.282458255111827,49.96102193076375,50.03897806923625,267,32,32
District,2022-23,ELA,6,HW,27.59875297795934,10.24453986107832,17.35421311688102,37.1195751824719,62.880424817528095,267,111,109
District,2022-23,ELA,7,BW,36.33452683033336,15.994710203096686,20.339816627236672,44.020692158136846,55.979307841863154,272,35,35
District,2022-23,ELA,7,HW,24.40199834906012,8.091493117716876,16.310505231343242,33.159141321016165,66.84085867898384,272,117,116
District,2022-23,ELA,8,BW,32.51924781432369,14.20756591409044,18.311681900233253,43.68971261331715,56.31028738668285,285,36,36
District,2022-23,ELA,8,HW,24.322002138507777,8.813457995508061,15.508544142999716,36.2365645119082,63.7634354880918,285,118,117
District,2022-23,Mathematics,3,BW,50.35831963176816,25.80485836263717,24.55346126913099,51.24249290152718,48.75750709847282,275,27,27
District,2022-23,Mathematics,3,HW,33.684705477473486,12.416213573235,21.268491904238488,36.86009242841174,63.13990757158827,275,120,117
District,2022-23,Mathematics,4,BW,48.35842034549512,26.10394908690275,22.254471258592368,53.98015257819416,46.01984742180584,258,26,26
District,2022-23,Mathematics,4,HW,33.526917234902726,14.444655798432265,19.08226143647046,43.083757737782285,56.916242262217715,258,116,114
District,2022-23,Mathematics,5,BW,50.31395304599806,27.037892360370467,23.276060685627595,53.73835829526625,46.26164170473375,260,33,33
District,2022-23,Mathematics,5,HW,34.23673846017637,13.790845157713997,20.445893302462373,40.2808380060948,59.71916199390521,260,126,124
District,2022-23,Mathematics,6,BW,45.15017739770868,25.001885700078855,20.148291697629826,55.37494455414404,44.62505544585596,269,32,32
District,2022-23,Mathematics,6,HW,33.319430645836995,14.147740109276505,19.17169053656049,42.460929959030246,57.539070040969754,269,112,110
District,2022-23,Mathematics,7,BW,37.46225017921939,19.07053071055477,18.39171946866462,50.90599368516669,49.09400631483331,272,31,31
District,2022-23,Mathematics,7,HW,28.886545355423056,11.54934548657259,17.337199868850465,39.9817470191338,60.0182529808662,272,112,111
District,2022-23,Mathematics,8,BW,33.567057474615154,18.01359425416095,15.553463220454205,53.664502072556104,46.33549792744389,282,28,28
District,2022-23,Mathematics,8,HW,27.17782785779466,12.112991301333517,15.064836556461144,44.56938709271972,55.430612907280285,282,114,113
County,2015-16,ELA,3,BW,40.55606929223691,10.636510696616721,29.91955859562019,26.226680450643972,73.77331954935603,68,18,18
County,2015-16,ELA,3,HW,26.633774800770944,2.9035926453322873,23.730182155438655,10.901919337578237,89.09808066242176,68,37,37
County,2015-16,ELA,4,BW,42.146420069801195,10.426206105998858,31.720213963802337,24.738058626880758,75.26194137311924,66,16,16
County,2015-16,ELA,4,HW,28.307145240310547,2.7513271254816503,25.555818114828895,9.719549965651947,90.28045003434805,66,37,37
County,2015-16,ELA,5,BW,40.624182781718,9.485115568895516,31.139067212822482,23.348446465645775,76.65155353435422,69,19,19
County,2015-16,ELA,5,HW,26.548046523709182,2.457641388843325,24.090405134865858,9.257334194621388,90.74266580537862,69,34,34
County,2015-16,ELA,6,BW,41.79006233683673,9.768135973603314,32.02192636323342,23.37430342857609,76.62569657142392,67,20,20
County,2015-16,ELA,6,HW,29.36258623784959,2.6274109533638494,26.73517528448574,8.948159171268802,91.05184082873119,67,33,33
County,2015-16,ELA,7,BW,38.58170150145459,8.592919248121564,29.988782253333024,22.272006971485172,77.72799302851483,68,16,16
County,2015-16,ELA,7,HW,24.58709283321345,1.4551935687365685,23.131899264476882,5.918526352862758,94.08147364713724,68,36,36
County,2015-16,ELA,8,BW,37.59199220441389,8.369609788668829,29.222382415745063,22.26434221191955,77.73565778808046,66,15,15
County,2015-16,ELA,8,HW,24.609260605192247,2.226096392643986,22.383164212548262,9.045767072637311,90.9542329273627,66,32,32
County,2015-16,Mathematics,3,BW,45.840997586139586,12.755298325463649,33.08569926067594,27.825088887944098,72.1749111120559,68,16,16
County,2015-16,Mathematics,3,HW,31.047174175582903,3.8123129730318137,27.234861202551087,12.279098095922729,87.72090190407727,68,36,36
County,2015-16,Mathematics,4,BW,48.02491474238428,13.53362298859287,34.491291753791415,28.18042064455515,71.81957935544486,66,15,15
County,2015-16,Mathematics,4,HW,33.798952005711,4.121522670749903,29.677429334961097,12.194232146764463,87.80576785323554,66,37,37
County,2015-16,Mathematics,5,BW,46.49952392659528,13.815797150399176,32.6837267761961,29.71169591372368,70.28830408627631,69,19,19
County,2015-16,Mathematics,5,HW,31.333114924780823,4.264085990497113,27.069028934283708,13.608879936557859,86.39112006344213,69,34,34
County,2015-16,Mathematics,6,BW,46.059933905468334,13.159899647041096,32.90003425842724,28.571251695779623,71.42874830422038,67,21,21
County,2015-16,Mathematics,6,HW,32.56985498357222,4.3944117237001725,28.175443259872047,13.492266778334297,86.50773322166569,67,34,34
County,2015-16,Mathematics,7,BW,43.948256859190685,11.415492307835805,32.53276455135488,25.974846612030163,74.02515338796984,68,16,16
County,2015-16,Mathematics,7,HW,30.663619310690706,3.287444026422385,27.37617528426832,10.72099152129845,89.27900847870154,68,37,37
County,2015-16,Mathematics,8,BW,38.65783292404596,11.014755751057375,27.643077172988587,28.49294675337575,71.50705324662425,66,15,15
County,2015-16,Mathematics,8,HW,27.427199006255172,3.744768115613173,23.682430890642,13.653483590355412,86.3465164096446,66,30,30
County,2016-17,ELA,3,BW,40.83697343233171,11.36107911384814,29.47589431848357,27.820570818436988,72.17942918156301,68,14,14
County,2016-17,ELA,3,HW,27.750803306110484,3.5711865086450105,24.179616797465474,12.86876804700881,87.13123195299119,68,37,37
County,2016-17,ELA,4,BW,43.920554467766024,11.602948435092284,32.31760603267374,26.41803723950677,73.58196276049323,69,16,16
County,2016-17,ELA,4,HW,28.720602102284126,3.7803291950403404,24.940272907243784,13.162430166252308,86.8375698337477,69,39,39
County,2016-17,ELA,5,BW,43.96808117798372,11.728299736393225,32.239781441590495,26.67457715272318,73.32542284727683,67,18,18
County,2016-17,ELA,5,HW,28.00355184720764,3.2528388103514576,24.750713036856183,11.615807980714465,88.38419201928554,67,39,39
County,2016-17,ELA,6,BW,42.48737503272574,10.229583947563652,32.25779108516208,24.07676148428646,75.92323851571354,69,21,21
County,2016-17,ELA,6,HW,28.70306255019484,2.344004421964753,26.35905812823009,8.166391366306804,91.8336086336932,69,34,34
County,2016-17,ELA,7,BW,38.9415053131772,8.614921001113398,30.326584312063805,22.122722097746546,77.87727790225345,68,19,19
County,2016-17,ELA,7,HW,26.309989395322905,2.1579648659780224,24.15202452934488,8.202074252305252,91.79792574769473,68,34,34
County,2016-17,ELA,8,BW,38.26178489739903,9.487366746974757,28.774418150424275,24.79593352065416,75.20406647934584,69,17,17
County,2016-17,ELA,8,HW,25.333795714708092,2.3922586896571008,22.94153702505099,9.442954054722334,90.55704594527768,69,38,37
County,2016-17,Mathematics,3,BW,45.52509350343944,12.562404849120863,32.96268865431858,27.594462487313216,72.40553751268679,68,14,14
County,2016-17,Mathematics,3,HW,30.792810723471685,3.9013620901803496,26.891448633291336,12.669717374018584,87.33028262598143,68,38,38
County,2016-17,Mathematics,4,BW,47.896445177811415,14.643978051614756,33.25246712619666,30.574248250053323,69.42575174994668,69,16,16
County,2016-17,Mathematics,4,HW,33.82713278513771,5.16814530787145,28.65898747726626,15.278106308028942,84.72189369197106,69,37,37
County,2016-17,Mathematics,5,BW,45.18350295221862,13.51417273789361,31.669330214325008,29.90952859981838,70.09047140018163,67,18,18
County,2016-17,Mathematics,5,HW,30.2530267544012,4.434041249586976,25.818985504814226,14.656521099800083,85.34347890019993,67,38,38
County,2016-17,Mathematics,6,BW,46.154392935062745,12.591945921249355,33.56244701381339,27.282226285514543,72.71777371448546,69,21,21
County,2016-17,Mathematics,6,HW,32.63118323127766,4.034566663599919,28.596616567677742,12.364144551561047,87.63585544843896,69,32,32
County,2016-17,Mathematics,7,BW,43.66830381184295,11.696642397112726,31.97166141473022,26.785199735512897,73.2148002644871,68,19,19
County,2016-17,Mathematics,7,HW,31.00763680374509,3.825179362747413,27.182457440997677,12.33624925033116,87.66375074966884,68,35,35
County,2016-17,Mathematics,8,BW,38.50953125407161,10.786731176508406,27.722800077563207,28.0105491426046,71.9894508573954,69,15,15
County,2016-17,Mathematics,8,HW,27.494717277653972,3.2801122975973698,24.214604980056603,11.929972817953814,88.07002718204619,69,37,37
County,2017-18,ELA,3,BW,39.444911164553254,11.915585896486677,27.52932526806658,30.208170191531554,69.79182980846845,64,14,14
County,2017-18,ELA,3,HW,27.578178733654894,3.242803462543904,24.33537527111099,11.758584545637762,88.24141545436223,64,42,42
County,2017-18,ELA,4,BW,44.1461432667566,11.91633928818861,32.22980397856799,26.992933938041148,73.00706606195885,67,14,14
County,2017-18,ELA,4,HW,27.752793995842502,3.295667091867281,24.457126903975222,11.87508217140583,88.12491782859418,67,42,42
County,2017-18,ELA,5,BW,43.12875991289384,10.857817016110655,32.27094289678318,25.175351756090222,74.82464824390976,69,16,16
County,2017-18,ELA,5,HW,26.90873074318912,2.9280965746869936,23.980634168502128,10.881585618556628,89.11841438144337,69,35,35
County,2017-18,ELA,6,BW,41.949414904132574,9.70721778849098,32.242197115641595,23.140293638600166,76.85970636139983,68,17,17
County,2017-18,ELA,6,HW,27.399359352690556,2.3890492275033837,25.01031012518717,8.719361634522247,91.28063836547774,68,41,41
County,2017-18,ELA,7,BW,40.16102983385011,9.292180473977279,30.86884935987283,23.137306270331933,76.86269372966807,68,19,19
County,2017-18,ELA,7,HW,25.1501277703249,1.788076832961621,23.36205093736328,7.109613316046076,92.89038668395392,68,33,33
County,2017-18,ELA,8,BW,36.84811797888305,7.574564044199241,29.27355393468381,20.556176162212893,79.44382383778711,69,20,20
County,2017-18,ELA,8,HW,24.906755820642616,1.7261395833913564,23.180616237251257,6.930407138615537,93.06959286138445,69,38,38
County,2017-18,Mathematics,3,BW,48.37752455631199,15.095278311613177,33.28224624469881,31.203081286315303,68.7969187136847,64,14,14
County,2017-18,Mathematics,3,HW,31.835354593384466,4.219897270090904,27.615457323293562,13.255380139437236,86.74461986056276,64,40,40
County,2017-18,Mathematics,4,BW,48.63369203916614,15.015979749176317,33.617712289989825,30.87567305620866,69.12432694379135,67,15,15
County,2017-18,Mathematics,4,HW,31.79454316828137,4.842752407332457,26.95179076094891,15.231394839362393,84.7686051606376,67,42,42
County,2017-18,Mathematics,5,BW,45.79441916666667,13.666710626207939,32.127708540458734,29.843616045152963,70.15638395484704,69,17,17
County,2017-18,Mathematics,5,HW,29.96644922904695,4.666110177527682,25.30033905151927,15.57111468850553,84.42888531149447,69,37,37
County,2017-18,Mathematics,6,BW,46.11417011140803,12.835598089187698,33.27857202222033,27.83439029300094,72.16560970699906,68,16,16
County,2017-18,Mathematics,6,HW,31.12840121694607,4.05207521681907,27.076326000127,13.017293077722059,86.98270692227794,68,43,43
County,2017-18,Mathematics,7,BW,42.839206100065766,11.928303009098528,30.91090309096724,27.844360563629152,72.15563943637085,68,16,16
County,2017-18,Mathematics,7,HW,29.137622405483572,3.258090390782524,25.87953201470105,11.181730428936321,88.81826957106368,68,32,32
County,2017-18,Mathematics,8,BW,39.94441618206994,10.360282267198066,29.584133914871877,25.93674725392166,74.06325274607833,68,20,20
County,2017-18,Mathematics,8,HW,28.24882674844822,3.2728619513311976,24.975964797117022,11.585833211678372,88.41416678832162,68,39,39
County,2018-19,ELA,3,BW,37.91883087280298,9.652818028786527,28.26601284401645,25.45652860755774,74.54347139244226,67,15,15
County,2018-19,ELA,3,HW,26.623862591426988,2.969110138657731,23.65475245276926,11.152063786618996,88.847936213381,67,35,35
County,2018-19,ELA,4,BW,41.308911020361684,11.765857797380383,29.5430532229813,28.482614299807718,71.51738570019228,66,18,18
County,2018-19,ELA,4,HW,26.153882132313996,2.611726568193879,23.542155564120115,9.985999611763194,90.01400038823681,66,36,36
