level,year,subject,gap_pair,T,B,W,B_pct,W_pct
School,2015-16,ELA,BW,30.125679035437567,5.775875253701576,24.34980378173599,19.17259772603723,80.82740227396278
School,2015-16,ELA,HW,23.045594618331098,5.958120655908719,17.08747396242238,25.853620852852575,74.14637914714743
School,2015-16,Mathematics,BW,35.22421443210695,7.355163555433062,27.869050876673878,20.88098677008057,79.1190132299194
School,2015-16,Mathematics,HW,26.98842718098741,7.420739306129459,19.567687874857953,27.496005070488735,72.50399492951126
School,2016-17,ELA,BW,30.93770459806846,6.168956639222636,24.76874795884582,19.939929995995193,80.0600700040048
School,2016-17,ELA,HW,23.30290653184149,5.471103393801713,17.831803138039778,23.47820168409423,76.52179831590577
School,2016-17,Mathematics,BW,35.1993642873997,7.423741708867532,27.77562257853217,21.090556205087506,78.90944379491249
School,2016-17,Mathematics,HW,26.048812118416926,6.543577053729076,19.505235064687852,25.120443204788838,74.87955679521117
School,2017-18,ELA,BW,30.99999009321356,5.9388548651739,25.061135228039664,19.15760246153762,80.8423975384624
School,2017-18,ELA,HW,22.500888168753242,5.204330537118766,17.296557631634474,23.129444927182774,76.87055507281723
School,2017-18,Mathematics,BW,36.46203980420463,7.413497646722387,29.04854215748224,20.332097947705872,79.66790205229412
School,2017-18,Mathematics,HW,25.463913107031637,6.385069880957115,19.07884322607452,25.07497513881295,74.92502486118704
School,2018-19,ELA,BW,30.040200169502747,5.850719471857873,24.189480697644868,19.47629988763394,80.52370011236604
School,2018-19,ELA,HW,21.271022294276346,5.078421239588815,16.192601054687533,23.874833890589866,76.12516610941015
School,2018-19,Mathematics,BW,35.86749207015524,7.257184013541557,28.610308056613682,20.23331879281335,79.76668120718665
School,2018-19,Mathematics,HW,24.618601933712036,5.942419783886064,18.676182149825973,24.13792545931976,75.86207454068024
School,2021-22,ELA,BW,30.51726950401683,7.118416761774535,23.398852742242294,23.32586393693438,76.67413606306562
School,2021-22,ELA,HW,21.39754739234304,5.559348620686853,15.838198771656188,25.981242236557573,74.01875776344244
School,2021-22,Mathematics,BW,36.168764372092184,9.09675061427852,27.072013757813664,25.150847069847845,74.84915293015216
School,2021-22,Mathematics,HW,25.244627173388295,6.9506937196356,18.293933453752697,27.533358571295107,72.4666414287049
School,2022-23,ELA,BW,29.99336406363681,6.7519089365797775,23.241455127057034,22.511342583160317,77.48865741683969
