center_year,sex,actual_gap,MKE_pi,Dane_pi,RoW_pi,MKE_omega,Dane_omega,RoW_omega,MKE_local_gap,Dane_local_gap,RoW_local_gap,MKE_contrib,Dane_contrib,RoW_contrib,place_total,white_comp_adj,nonlinearity,decomp_total,place_if_same_dist,composition_effect,Dane_gap_hi,Milwaukee_gap_hi,Rest_of_WI_gap_hi,Statewide_gap_hi,Dane_gap_lo,Milwaukee_gap_lo,Rest_of_WI_gap_lo,Statewide_gap_lo
2011,Male,6.551,0.6351,0.08,0.285,0.1226,0.0853,0.7921,7.083,5.852,3.691,4.498,0.468,1.052,6.018,0.414,0.119,6.551,4.291,1.727,8.183416545552507,7.653814297749107,4.665006975298372,7.047483239060415,1.245644979332063,6.4012459743009185,2.3828686416147695,5.985680970151714
2011,Female,5.919,0.7126,0.0743,0.2131,0.1257,0.0863,0.788,5.146,7.122,6.257,3.667,0.529,1.334,5.529,0.447,-0.057,5.919,6.192,-0.663,8.927917647486616,5.761465246627373,7.334204406319082,6.4101240430924165,3.7555916535697706,4.417483424582175,5.07660361554051,5.420193615000593
2012,Male,6.467,0.6306,0.0811,0.2882,0.1223,0.0862,0.7915,7.224,5.47,3.236,4.555,0.444,0.933,5.932,0.396,0.139,6.467,3.916,2.016,7.411702429920937,7.855664469707779,4.410678147852735,6.997576993473386,1.7071580587708213,6.474165733261811,1.8350048244253827,5.896240174841491
2012,Female,5.863,0.7075,0.0754,0.2172,0.1254,0.0872,0.7874,5.33,7.248,5.873,3.771,0.546,1.275,5.593,0.333,-0.063,5.863,5.925,-0.332,9.270159735773982,5.957561539926084,7.07000787678591,6.312308930833135,3.7070647453291357,4.7439867951402315,4.69509538074303,5.349992798989062
2013,Male,6.522,0.6255,0.082,0.2925,0.122,0.0871,0.791,7.695,5.734,2.877,4.813,0.47,0.842,6.125,0.276,0.121,6.522,3.713,2.412,7.7478607200477,8.299813680860483,3.9136597590670825,7.001066504511398,2.051902728340941,7.0502153087162105,1.5850881154808274,5.966909940731861
2013,Female,5.893,0.7024,0.0761,0.2214,0.125,0.0881,0.787,5.626,7.458,5.599,3.952,0.568,1.24,5.76,0.206,-0.073,5.893,5.766,-0.007,9.312249545003285,6.186323863972259,6.6671612629658545,6.36417120627741,4.8932418007717775,5.024271160568951,4.295530476260185,5.400745088939765
2014,Male,6.735,0.619,0.0826,0.2984,0.1216,0.088,0.7904,8.053,6.49,2.38,4.985,0.536,0.71,6.231,0.23,0.274,6.735,3.431,2.8,8.452488716408507,8.703942437697767,3.5903610338502503,7.240543738491492,1.7055089601765865,7.404360533780769,1.0072274653536148,6.137134083217139
2014,Female,5.525,0.6957,0.0764,0.2279,0.1246,0.0889,0.7865,5.859,5.441,4.322,4.076,0.416,0.985,5.477,0.001,0.047,5.525,4.613,0.864,7.168631737103312,6.447281727092716,5.578054777464569,6.016504146715544,2.725846249251182,5.247839674307677,2.9100148970240363,5.016399738963806
2015,Male,7.222,0.6123,0.0836,0.3041,0.1209,0.0891,0.7901,8.674,8.525,2.893,5.311,0.712,0.88,6.903,0.106,0.213,7.222,4.093,2.81,10.28614601277394,9.444121281902213,4.081138927493929,7.720603068344283,4.660926913300814,8.045273312204047,1.5351140957630922,6.677035446977155
2015,Female,5.572,0.6882,0.0774,0.2344,0.1238,0.0898,0.7864,6.005,5.625,4.146,4.132,0.435,0.972,5.54,-0.029,0.061,5.572,4.509,1.031,7.536455132839735,6.735177464940624,5.338243445954289,6.068651472595248,3.2544772282823557,5.306750277352543,2.8196368099170437,5.0366831574953235
2016,Male,7.912,0.6045,0.0847,0.3108,0.1199,0.09,0.7901,9.231,8.502,3.837,5.58,0.72,1.193,7.493,0.142,0.277,7.912,4.904,2.589,10.558320450706315,9.87625141141236,4.922149136314083,8.394232126382649,1.378622700642197,8.559443259020085,2.5664993743651574,7.397453944504834
2016,Female,5.723,0.6794,0.0789,0.2418,0.1228,0.0907,0.7864,6.103,5.427,4.327,4.146,0.428,1.046,5.62,0.051,0.052,5.723,4.645,0.975,7.284378498652535,6.739092860822535,5.474101659289847,6.214568025522986,3.2828469650477463,5.421897901284838,3.035705099551909,5.250939143182318
