district_label,tier,year,subject,race,mean_ss,n_tested
Kenosha,Tier 1,2011-12,Reading,White,500.91011064479204,5242.0
Kenosha,Tier 1,2012-13,Math,Black,468.0894771674388,1511.0
Kenosha,Tier 1,2012-13,Math,Hispanic,480.78186147186153,2310.0
Kenosha,Tier 1,2012-13,Math,White,511.1780294000794,5034.0
Kenosha,Tier 1,2012-13,Reading,Black,461.92832561217733,1511.0
Kenosha,Tier 1,2012-13,Reading,Hispanic,470.4768398268398,2310.0
Kenosha,Tier 1,2012-13,Reading,White,500.2044281175536,5036.0
Kenosha,Tier 1,2013-14,Math,Black,464.63339719029375,1566.0
Kenosha,Tier 1,2013-14,Math,Hispanic,479.2926637554585,2290.0
Kenosha,Tier 1,2013-14,Math,White,510.23988549618315,4716.0
Kenosha,Tier 1,2013-14,Reading,Black,459.66143039591316,1566.0
Kenosha,Tier 1,2013-14,Reading,Hispanic,469.26641921397385,2290.0
Kenosha,Tier 1,2013-14,Reading,White,499.59934252386,4715.0
Green Bay Area,Tier 1,2008-09,Math,Black,466.08081395348836,516.0
Green Bay Area,Tier 1,2008-09,Math,Hispanic,473.4061507936508,1512.0
Green Bay Area,Tier 1,2008-09,Math,White,511.749852195946,4736.0
Green Bay Area,Tier 1,2008-09,Reading,Black,457.61902912621355,515.0
Green Bay Area,Tier 1,2008-09,Reading,Hispanic,462.25594614809273,1337.0
Green Bay Area,Tier 1,2008-09,Reading,White,498.8626030002113,4733.0
Green Bay Area,Tier 1,2009-10,Math,Black,470.6847863247863,585.0
Green Bay Area,Tier 1,2009-10,Math,Hispanic,481.677108433735,1577.0
Green Bay Area,Tier 1,2009-10,Math,White,512.5837651122625,4632.0
Green Bay Area,Tier 1,2009-10,Reading,Black,459.2402397260275,584.0
Green Bay Area,Tier 1,2009-10,Reading,Hispanic,467.35317109144546,1356.0
Green Bay Area,Tier 1,2009-10,Reading,White,498.52598272138226,4630.0
Green Bay Area,Tier 1,2010-11,Math,Black,470.5122516556292,604.0
Green Bay Area,Tier 1,2010-11,Math,Hispanic,480.6561699650757,1718.0
Green Bay Area,Tier 1,2010-11,Math,White,512.7156101962553,4433.0
Green Bay Area,Tier 1,2010-11,Reading,Black,467.4734006734006,594.0
Green Bay Area,Tier 1,2010-11,Reading,Hispanic,476.99551601423485,1405.0
Green Bay Area,Tier 1,2010-11,Reading,White,502.675873808443,4406.0
Green Bay Area,Tier 1,2011-12,Math,Black,474.51840390879477,614.0
Green Bay Area,Tier 1,2011-12,Math,Hispanic,480.9036403750689,1813.0
Green Bay Area,Tier 1,2011-12,Math,White,514.8910644193028,4331.0
Green Bay Area,Tier 1,2011-12,Reading,Black,463.35490196078433,612.0
Green Bay Area,Tier 1,2011-12,Reading,Hispanic,474.24179856115114,1390.0
Green Bay Area,Tier 1,2011-12,Reading,White,500.8449710982659,4325.0
Green Bay Area,Tier 1,2012-13,Math,Black,460.12713178294575,645.0
Green Bay Area,Tier 1,2012-13,Math,Hispanic,468.9436712052445,1983.0
Green Bay Area,Tier 1,2012-13,Math,White,505.7746754779326,4237.0
Green Bay Area,Tier 1,2012-13,Reading,Black,459.25763239875386,642.0
Green Bay Area,Tier 1,2012-13,Reading,Hispanic,455.2956543708944,1979.0
Green Bay Area,Tier 1,2012-13,Reading,White,499.5671543180746,4238.0
Green Bay Area,Tier 1,2013-14,Math,Black,455.65951293759514,657.0
Green Bay Area,Tier 1,2013-14,Math,Hispanic,465.871793635487,2074.0
Green Bay Area,Tier 1,2013-14,Math,White,502.70676886792455,4240.0
Green Bay Area,Tier 1,2013-14,Reading,Black,456.0146788990825,654.0
Green Bay Area,Tier 1,2013-14,Reading,Hispanic,453.1287988422576,2073.0
Green Bay Area,Tier 1,2013-14,Reading,White,497.51247641509434,4240.0
Beloit,Tier 1,2008-09,Math,Black,460.33548387096766,620.0
Beloit,Tier 1,2008-09,Math,Hispanic,472.74464534075105,719.0
Beloit,Tier 1,2008-09,Math,White,483.50414096916296,1135.0
Beloit,Tier 1,2008-09,Reading,Black,462.71693548387094,620.0
