dataset,metric,value,top_x,year,computed_date
EdShare,hhi,0.24793388429752067,NA,2015,2026-06-25
EdShare,top_x_share,0.2727272727272727,1,2015,2026-06-25
EdShare,top_x_share,1,3,2015,2026-06-25
EdShare,top_x_share,1,5,2015,2026-06-25
EdShare,top_x_share,1,10,2015,2026-06-25
EdShare,top_x_share,1,20,2015,2026-06-25
EdShare,hhi,0.28125,NA,2016,2026-06-25
EdShare,top_x_share,1,1,2016,2026-06-25
EdShare,top_x_share,1,3,2016,2026-06-25
EdShare,top_x_share,1,5,2016,2026-06-25
EdShare,top_x_share,1,10,2016,2026-06-25
EdShare,top_x_share,1,20,2016,2026-06-25
EdShare,hhi,0.20118343195266278,NA,2017,2026-06-25
EdShare,top_x_share,0.15384615384615385,1,2017,2026-06-25
EdShare,top_x_share,0.15384615384615385,3,2017,2026-06-25
EdShare,top_x_share,1,5,2017,2026-06-25
EdShare,top_x_share,1,10,2017,2026-06-25
EdShare,top_x_share,1,20,2017,2026-06-25
EdShare,hhi,0.32000000000000006,NA,2018,2026-06-25
EdShare,top_x_share,1,1,2018,2026-06-25
EdShare,top_x_share,1,3,2018,2026-06-25
EdShare,top_x_share,1,5,2018,2026-06-25
EdShare,top_x_share,1,10,2018,2026-06-25
EdShare,top_x_share,1,20,2018,2026-06-25
EdShare,hhi,0.14197530864197533,NA,2019,2026-06-25
EdShare,top_x_share,0.16666666666666666,1,2019,2026-06-25
EdShare,top_x_share,0.16666666666666666,3,2019,2026-06-25
EdShare,top_x_share,1,5,2019,2026-06-25
EdShare,top_x_share,1,10,2019,2026-06-25
EdShare,top_x_share,1,20,2019,2026-06-25
EdShare,hhi,0.3950617283950617,NA,2020,2026-06-25
EdShare,top_x_share,0.5555555555555556,1,2020,2026-06-25
EdShare,top_x_share,0.5555555555555556,3,2020,2026-06-25
EdShare,top_x_share,0.5555555555555556,5,2020,2026-06-25
EdShare,top_x_share,1,10,2020,2026-06-25
EdShare,top_x_share,1,20,2020,2026-06-25
EdShare,hhi,0.6734693877551022,NA,2021,2026-06-25
EdShare,top_x_share,0.2857142857142857,1,2021,2026-06-25
EdShare,top_x_share,0.2857142857142857,3,2021,2026-06-25
